Variants,Redewendung,Bedeutung,Beispiele
['im Adamskostüm'],im Adamskostüm,(als Mann) nackt,"['Er stand im Adamskostüm in der Küche. Blitzer oder Flitzer nannte man die Leute, die aus Jux im Adamskostüm über die Straße rannten.', 'Er lichtete Aktmodelle ab und ließ sich auch von ihnen im Adamskostüm fotografieren.']"
"['einer Sache Ade sagen', 'einer Sache Adieu sagen']",einer Sache Ade/Adieu sagen,"Abstand von etwas nehmen, etwas aufgeben","['Schon lange hat der Bürgermeister von Beverungen der Kernkraft Ade gesagt, schweren Herzens', 'Der Wissenschaftler gehört zu den Tausenden hoch qualifizierter Deutscher, die der Heimat Adieu sagen und sich in das Abenteuer Ausland stürzen']"
['Adel verpflichtet'],Adel verpflichtet,"Zugehörigkeit zu einer gehobenen Gesellschaftsschicht verpflichtet zu einer bestimmten Lebensweise, einem bestimmten Lebensstil","['Sie aß Austern zum Dinner, denn Adel verpflichtet.']"
['jemanden zur Ader lassen'],jemanden zur Ader lassen,jemandem mit List oder Geschick unverhältnismäßig viel Geld abnehmen,['Die Burschen haben mich gestern beim Skatabend ganz schön zur Ader gelassen.']
['jemandem etwas ad oculos demonstrieren'],jemandem etwas ad oculos demonstrieren,jemandem etwas durch den Augenschein beweisen,"['Kommen Sie in mein Labor, dort kann ich Ihnen ad oculos demonstrieren, wie sehr die Belastung des Sees durch Schadstoffe zugenommen hat.']"
['sich an die richtige Adresse wenden'],sich an die richtige Adresse wenden,sich an die zuständige Stelle wenden,"['Gassner mahnt die Bürger, sich an die richtige Adresse zu wenden Für Klagen und Schadensersatzansprüche seien Land und Ministerium für Wirtschaft und Verkehr zuständig.']"
"['an die richtige Adresse geraten', 'an die richtige Adresse kommen']",an die richtige Adresse geraten/kommen,an die passende Stelle kommen.,x
"['an die falsche Adresse kommen', 'an die falsche Adresse geraten', 'an die unrechte Adresse kommen', 'an die unrechte Adresse geraten', 'an die verkehrte Adresse kommen', 'an die verkehrte Adresse geraten', 'an der falschen Adresse sein', 'an der unrechten Adresse sein', 'an der verkehrten Adresse sein']",an die falsche/unrechte/verkehrte Adresse kommen/geraten; an der falschen/unrechten/verkehrten Adresse sein,bei jemandem auf eine den positiven Erwartungen entgegengesetzte Reaktion stoßen; scharf abgewiesen werden,"['Dass eins klar ist, Herr Schenk. Wenn Sie ’n Denunzianten brauchen, sind Sie bei mir an der verkehrten Adresse.']"
['sich aus der Affäre ziehen'],sich aus der Affäre ziehen,geschickt aus einer unangenehmen Situation herausgelangen,"['Man spürt sofort, ob ein windiger Schaumschläger so etwas sagt, der sich nur mit billigen Mätzchen aus der Affäre ziehen will', 'Und du wirst dich nicht mit einem Witz aus der Affäre ziehen?']"
['mich laust der Affe!'],mich laust der Affe!,ich bin völlig verblüfft!,"['Er kniff das linke Auge zu, grinste und sagte Mich laust der Affe! Du bist doch der Abi!']"
['einen Affen sitzen haben'],einen Affen sitzen haben,betrunken sein,['Der Alte hat mal wieder ’nen Affen sitzen. Weckt mit seinem Gegröle die ganze Nachbarschaft auf.']
"['sich einen Affen kaufen', 'sich einen Affen antrinken']",sich einen Affen kaufen/antrinken,sich betrinken,['Mir stinkts! Ich geh mir ’nen Affen kaufen!']
['einen Affen an jemandem gefressen haben'],einen Affen an jemandem gefressen haben,jemanden unmäßig gern haben,"['An dem Münchner Libero hat der Bundestrainer einen Affen gefressen.', 'Willi hatte an der schwarzhaarigen, immer lustigen Lilli, wie man so sagt, einen Affen gefressen.']"
"['seinem Affen Zucker geben', 'dem Affen Zucker geben']",seinem/dem Affen Zucker geben,"seiner Schwäche, Marotte nachgeben","['Der durch zahlreiche TV-Serien auf den Typ des schweren Jungen festgelegte Schauspieler darf seinem Affen Zucker geben und das Brutalo-Klischee herrlich parodieren', 'Offensichtlich wollte Penker mal so richtig seinem Affen Zucker geben und produzierte im Alleingang eine regelrechte Sommer-EP']"
['jemanden zum Affen halten'],jemanden zum Affen halten,jemanden täuschen und veralbern,['Ich lass mich doch nicht von euch zum Affen halten.']
['vom wilden Affen gebissen'],vom wilden Affen gebissen,ganz von Sinnen,"['Was soll denn der Blödsinn? Du bist wohl vom wilden Affen gebissen!', 'Eine Strafaktion sei es nicht gewesen, dann müssten wir ja vom wilden Affen gebissen sein, betonte der Schalker Trainer.']"
['wie ein Affe auf dem Schleifstein sitzen'],wie ein Affe auf dem Schleifstein sitzen,in krummer Haltung sitzen und dadurch einen komischen Anblick bieten,"['Sie hatte den Fahrersitz so weit vorgerückt, dass sie wie ein Affe auf dem Schleifstein im Auto saß. Sitzt im Sattel wie der Affe auf dem Schleifstein – und das nennt er reiten.']"
['sich zum Affen machen'],sich zum Affen machen,"sich lächerlich machen, sich blamieren","['Politiker, die sich zum Affen machen, wirken noch lange nicht volksverbunden. Geschmacksache, Klappe, schwitzen, Wald.']"
['mit affenartiger Geschwindigkeit'],mit affenartiger Geschwindigkeit,sehr schnell,['Der Ladendieb verschwand mit affenartiger Geschwindigkeit.']
['eine Affenschande sein'],eine Affenschande sein,"unerhört, empörend sein","['Dieses Deutsch ist eine Affenschande', 'Eine Affenschande, dass dieses Werk im Schreibtisch liegt, ereifert sich Theaterdirektor Striese']"
"['Aftersausen bekommen', 'Aftersausen kriegen', 'Muffensausen bekommen', 'Muffensausen kriegen']",Aftersausen/Muffensausen bekommen/kriegen,Angst bekommen,"['Bleib lieber unten, sonst bekommst du Aftersausen.']"
"['Aftersausen haben', 'Muffensausen haben']",Aftersausen/Muffensausen haben,Angst haben,"['Als er oben auf dem Gerüst stand, hatte er ein leichtes Muffensausen.']"
['unter jemandes Ägide'],unter jemandes Ägide,"unter jemandes Leitung, Schirmherrschaft","['Die Präsidentin bestritt energisch, dass unter ihrer Ägide die demokratischen Rechte der Bürger eingeschränkt worden seien.', 'Auch plätten lernte ich unter der Ägide der Mädchen.']"
['ägyptische Finsternis'],ägyptische Finsternis,tiefste Finsternis,"['Stromausfall durch Kabelschaden Ägyptische Finsternis in der Londoner Untergrundbahn.', 'Die Stadt, die niemals schläft, die die Nacht zum Tag macht und auch am Tag nicht spart am Glanz, versank in Dunkelheit, in einer ägyptischen Finsternis.']"
['du ahnst es nicht!'],du ahnst es nicht!,Ausruf unangenehmer Überraschung,"['Nun haben sich die Neuen beworben, du ahnst es nicht! Zwei haben Kinder, kommt nicht in Frage.']"
['etwas sieht jemandem ähnlich'],etwas sieht jemandem ähnlich,"etwas passt zu jemandes Charakter, ist typisch für jemandes Verhaltensweise","['Erst große Töne spucken und dann kneifen, das sieht ihm ähnlich. Die Flinte ins Korn werfen? Das sieht dir aber gar nicht ähnlich!']"
['von etwas Ahnung haben'],von etwas Ahnung haben,sich mit etwas auskennen,"['Der Junge redet nicht viel, aber er hat Ahnung vom Programmieren.']"
"['keine Ahnung haben', 'keine blasse Ahnung haben', 'nicht die leiseste Ahnung haben']",keine/keine blasse/nicht die leiseste Ahnung haben,"nicht informiert, unterrichtet sein","['Die Polizisten hatten keine Ahnung, wen sie da verhaftet hatten.', 'So weht ein Hauch von Untergrund durch die Hotline-Gemeinde – Eingeweihten eröffnen sich Welten, von denen der kommune Surfer keine blasse Ahnung hat', 'Okay, ich besorg dir welche, versprach ich, dabei hatte ich nicht die leiseste Ahnung, wo ich die Dinger herkriegen sollte']"
"['von Ackerbau und Viehzucht keine Ahnung haben', 'von Tuten und Blasen keine Ahnung haben']",von Ackerbau und Viehzucht/von Tuten und Blasen keine Ahnung haben,von einer Sache nicht das Geringste verstehen,"['Mein Eindruck Der junge Mann hatte keine Ahnung von Ackerbau und Viehzucht', 'Ich habe das Gefühl, hier will sich wer dicktun, der von Tuten und Blasen keine Ahnung hat']"
['hast du eine Ahnung!'],hast du eine Ahnung!,da täuschst du dich aber gewaltig!,"['Keine Gefahr? Mann, hast du eine Ahnung!']"
['das akademische Viertel'],das akademische Viertel,die Viertelstunde nach dem angegebenen oder vereinbarten Termin,"['Es ist schon zehn nach, dein Bruder nimmt wohl das akademische Viertel in Anspruch!']"
"['das ist, um auf die Akazien zu klettern!', 'es ist, um auf die Akazien zu klettern!']","das/es ist, um auf die Akazien zu klettern!",es ist zum Verzweifeln!,"['Ausgerechnet jetzt streikt der Fernsehapparat. Es ist, um auf die Akazien zu klettern!']"
['etwas die Akten schließen'],etwas die Akten schließen,"etwas für erledigt erklären, über etwas nicht mehr verhandeln","['Der Inhaber des betroffenen Reisebüros äußerte sein Unverständnis darüber, dass bei einer Tat von dieser Dimension nun bereits die Akten geschlossen werden.']"
['etwas zu den Akten legen'],etwas zu den Akten legen,etwas als erledigt betrachten,"['Es ist das Beste, wenn wir die ganze Angelegenheit zu den Akten legen.']"
['wie stehen die Aktien?'],wie stehen die Aktien?,wie gehts?,"['Kollege Keßler schiebt sich heran Na, Pinneberg, wie stehen die Aktien?']"
"['jemandes Aktien steigen']","jemandes Aktien steigen","jemandes Aussichten auf Erfolg werden besser","['Seit er einen Sportwagen besitzt, sind seine Aktien bei ihr wieder gestiegen.']"
"['jemandes Aktien fallen']","jemandes Aktien fallen","jemandes Aussichten auf Erfolg werden schlechter","['Seit er seinen Job verloren hat, sind seine Aktien bei den Investoren gefallen.']"
['in Aktion'],in Aktion,in Tätigkeit,"['Man wollte den Journalisten ein Fernsehstudio in voller Aktion vorführen.', 'Schon traten bei einigen Zuschauern die Taschentücher in Aktion.']"
['Akzente setzen'],Akzente setzen,richtungweisend sein,"['Mit ihrem unbekümmerten Offensivfußball haben die Aufsteiger in der Bundesliga Akzente gesetzt.', 'Die neue Führung kann daran anknüpfen, wird aber, was Tempo und Entscheidungskraft angeht, noch mal eigene Akzente setzen', 'Wenn es schlecht läuft, kann die Bundesregierung in diesen entscheidenden Monaten in Europa kaum inhaltliche Akzente setzen']"
['Alarm schlagen'],Alarm schlagen,"die Aufmerksamkeit auf etwas Gefährliches, Bedrohliches lenken","['Die Posten schlugen Alarm, als sich die Kolonne dem Tor näherte.', 'Wenn der Virenscanner Alarm schlägt, ist der verdächtige Prozess gestoppt, die Gefahr also erst einmal gebannt.']"
"['etwas in Alkohol ertränken', 'etwas im Alkohol ertränken']",etwas in/im Alkohol ertränken,etwas durch übermäßigen Genuss von alkoholischen Getränken zu vergessen suchen,['Er wollte seinen Liebeskummer im Alkohol ertränken.']
['jemanden unter Alkohol setzen'],jemanden unter Alkohol setzen,jemanden betrunken machen,"['Er widerruft sofort; erklärt, die Geständnisse seien ihm in der Voruntersuchung entrungen worden, nachdem man ihn unter Alkohol gesetzt habe.']"
['unter Alkohol stehen'],unter Alkohol stehen,unter dem Einfluss von Alkohol stehen,['Zu Beginn der Behandlung darf der Patient auf keinen Fall unter Alkohol stehen. Unter Alkohol stehende Hooligans randalierten im Stadion.']
['alles in allem'],alles in allem,"im Ganzen gesehen, zusammengenommen","['alles in allem war er ein Genie', 'Adalbert benötigte zu seinen Entscheidungen alles in allem drei Viertelstunden']"
['alles und jedes'],alles und jedes,jegliches ohne Ausnahme,"['Um alles und jedes muss man sich hier selbst kümmern.', 'Und doch hatten diesen Diplomaten die Leiden der Seele dahin gebracht, dass er in allem und jedem nur noch pazifistische Machenschaften sah.']"
['nicht alle haben'],nicht alle haben,nicht recht bei Verstand sein,"['Seit er vom Gerüst gestürzt ist, hat er sie nicht mehr alle. Bei Rot über die Kreuzung! Ich glaube, die hat nicht mehr alle beisammen.']"
['vor allem'],vor allem,"hauptsächlich, besonders","['Es geht vor allem darum, kein Aufsehen zu erregen.', 'Vor allem der alte Leonardo ließ an den Aussagen kein gutes Haar.']"
"['jemanden alle machen', 'jemanden allemachen']",jemanden alle machen/allemachen,jemanden umbringen,"['Wenn du mich verpfeifst, mache ich dich alle, warnte der Straßenräuber. dumm.']"
['von allein'],von allein,"von sich aus, automatisch","['Von allein wäre sie niemals auf die Idee gekommen.', 'In einer solchen Umwelt, die Spannungen von ganz allein produziert, genügen zumeist nichtige Anlässe. Flur, verarschen.']"
['das ist allerhand!'],das ist allerhand!,"das ist unerhört, unverschämt","['Das ist doch allerhand, dass aus den Toten der Flutkatastrophe jetzt auch noch politisches Kapital geschlagen wird. und Bilder an den Wänden, nackte Mädels, das ist ja allerhand!']"
['im Allgemeinen'],im Allgemeinen,"ohne Beachtung kleinerer Unterschiede, im Großen und Ganzen; meistens, gewöhnlich",['Die Behälter sind im Allgemeinen nur für die üblichen Belastungen ausgelegt.']
['allzu viel ist ungesund'],allzu viel ist ungesund,man soll nichts übertreiben,"['Sie müssen geschäftlich und auch privat mal ein wenig kürzertreten, Sie wissen doch Allzu viel ist ungesund. scharf.']"
['Alt und Jung'],Alt und Jung,jedermann,['Alt und Jung strömte zum Oktoberfest.']
['alt und grau werden'],alt und grau werden,sehr lange warten müssen,"['Da kann man ja alt und grau werden, bis man endlich einen Gerichtstermin bekommt. Bei diesem Job wirst du alt und grau, bevor du die erste Gehaltserhöhung bekommst.']"
"['da nicht alt werden', 'hier nicht alt werden']",da/hier nicht alt werden,"da/hier nicht lange bleiben, es nicht lange aushalten","['Hier ist ja heute gar nichts los, hier werden wir nicht alt. Dieser Kerl war mir gleich verdächtig Wenn einer schon so heißt. Der wird hier nicht alt.']"
['alt aussehen'],alt aussehen,"einen schwachen, schlechten Eindruck machen; im Nachteil sein","['Ohne eigene Website wird man bald recht alt aussehen', 'wie beim Torwandschießen im ZDFSportstudio, wo auch immer die Schachspieler die National-Fußballer alt aussehen lassen', 'Wer dagegen keine solche Klausel im Mietvertrag vereinbart hat, sieht alt aus, wenn er den Vertrag aufkündigen will']"
['alt wie Methusalem'],alt wie Methusalem,sehr alt,"['verspannter Rücken, unbewegliche Lendenwirbel, gereizter Ischiasnerv ließen mich so alt wie Methusalem fühlen. Die Frage nach dem besten Betriebssystem ist so alt wie Methusalem, jedoch sollte sie vor jedem Computerkauf grundlegend erörtert werden.']"
"['man ist so alt, wie man sich fühlt']","man ist so alt, wie man sich fühlt","für jemandes Alter ist nicht die bereits höhere Anzahl der Lebensjahre ausschlaggebend, sondern die seelische, geistige und körperliche Verfassung der betreffenden Person","['Warum soll ich mir darüber Gedanken machen, dass ich bald sechzig werde? Man ist schließlich so alt, wie man sich fühlt.']"
['aus Alt mach Neu'],aus Alt mach Neu,etwas Altes wurde aufgearbeitet/soll aufgearbeitet werden,"['Weiß gestrichen sieht das alte Büffet ja richtig toll aus! – Tja, aus Alt mach Neu. Wir werden nicht umziehen, sondern unsere Wohnung von oben bis unten renovieren – aus Alt mach Neu!']"
['Alte Dame'],Alte Dame,Mutter,"['Was sagt denn deine Alte Dame dazu, dass du keinen Abend mehr zu Haus bist? Verflixt, ich hab vergessen, dass die Alte Dame heute Geburtstag hat!']"
['Alte Herrschaften'],Alte Herrschaften,Eltern,"['Was sagen deine Alten Herrschaften dazu, dass du dein Studium an den Nagel hängen willst?']"
['Alter Herr'],Alter Herr,Vater,['Ich habe unseren Alten Herrn noch nie so wütend gesehen.']
['Alter Herr'],Alter Herr,ehemaliges aktives Mitglied einer Verbindung,"['Als Alte Herren halten sie jenen skurrilen Männerbünden die Treue, die noch vor zehn Jahren an Nachwuchsmangel auszusterben drohten.']"
['Alter Herr'],Alter Herr,Spieler der Altersklasse über 32 Jahre,['Die Alten Herren der Borussia sicherten sich den Turniersieg.']
"['jemanden, etwas auf dem Altar der Freundschaft opfern', 'jemanden, etwas auf dem Altar der Liebe opfern', 'jemanden, etwas auf dem Altar des Vaterlandes opfern']","jemanden, etwas auf dem Altar der Freundschaft/der Liebe/des Vaterlandes opfern","jemanden, etwas für die Freundschaft/die Liebe/das Vaterland preisgeben",['Sie hat ihren Traum von einer großen Karriere auf dem Altar der Liebe geopfert.']
['jemanden zum Altar führen'],jemanden zum Altar führen,heiraten,['Gestern hat er seine langjährige Mitarbeiterin zum Altar geführt.']
"['wie die Alten sungen, so zwitschern die Jungen']","wie die Alten sungen, so zwitschern die Jungen",die Eigenschaften der Eltern/vorangehenden Generationen zeigen sich auch bei den Kindern/nachfolgenden Generationen,"['dadurch gekennzeichnet, dass Beruf und Wertvorstellungen von den Eltern übernommen werden', 'Wie die Alten sungen, so summen die Jungen. Die neue Bundesregierung tritt beim Bundesverfassungsgericht so markig auf wie die vorige']"
"['sich auf sein Altenteil setzen', 'sich auf sein Altenteil zurückziehen', 'sich aufs Altenteil setzen', 'sich aufs Altenteil zurückziehen']",sich auf sein/aufs Altenteil setzen/zurückziehen,"sich aus Altersgründen vom öffentlichen Leben zurückziehen, nicht mehr aktiv tätig sein",['An deutschen Schulen steht der größte Generationswechsel seit 25 Jahren an. Rund die Hälfte der etwa 800 000 Lehrer ziehen sich in den nächsten zehn Jahren aufs Altenteil zurück.']
