Variants,Redewendung,Bedeutung,Beispiele
"['am Arsch der Welt', 'an den Arsch der Welt']",am/an den Arsch der Welt,an einem/einen sehr abgelegen Ort,"['Mein Freund wohnt am Arsch der Welt.', 'Klar, Mensch, da gibts doch keinen Zweifel, am Arsch der Welt, das ist die Eifel.']"
"['jemanden am Arsch haben', 'jemanden beim Arsch haben']",jemanden am/beim Arsch haben,jemanden für etwas verantwortlich machen,"['Warum der Spieß mich bloß dauernd am Arsch hat? Aber dich haben sie genauso am Arsch wie mich und jeden', 'Und wenn es herauskommt, wen haben sie dann beim Arsch? Dich oder mich?']"
"['sich etwas am Arsch abfingern können', 'sich etwas am Arsch abklavieren können']",sich etwas am Arsch abfingern/abklavieren können,"sich etwas leicht denken, ausrechnen können","['Was der Chef zu deinen Eskapaden sagt, das kannste dir ja am Arsch abfingern!']"
"['jemandem in den Arsch treten', 'jemanden in den Arsch treten']",jemandem/jemanden in den Arsch treten,jemanden mit groben Mitteln zu etwas veranlassen,"['Er arbeitet nur, wenn man ihm ab und an kräftig in den Arsch tritt.']"
"['auf dem absteigenden Ast sein', 'auf dem absteigenden Ast sich befinden']",auf dem absteigenden Ast sein/sich befinden,"über den Höhepunkt hinweg sein, in seinen Fähigkeiten, Leistungen nachlassen",['Bei den diesjährigen Meisterschaften ist er schon in der Vorrunde ausgeschieden; der ist auch schon auf dem absteigenden Ast. Die Firma soll sich auf dem absteigenden Ast befinden.']
"['sich auf die Äste hinauslassen', 'sich auf den Ast hinauslassen', 'sich auf einen Ast hinauslassen']",sich auf die Äste/auf den/einen Ast hinauslassen,sich auf ein Wagnis einlassen,['Der Spekulant lässt sich auf die Äste hinaus und prognostiziert einen Anstieg des Aktienkurses. Sie unterhielten sich vortrefflich und Ammann ließ sich schon weit auf den Ast hinaus; auf dem Heimweg im Morgengrauen war die Verlobung nicht mehr aufzuhalten.']
"['Atem holen', 'Atem schöpfen']",Atem holen/schöpfen,sich zu weiterem Tun rüsten,"['ein Investmentbanker bekräftigt, dass Chile zum Ende des Jahres wieder Atem schöpfen wird, vorausgesetzt dass es auf dem Weltmarkt nicht zu neuen Turbulenzen kommt', 'Ich bin wieder in meinem Hause, aber nur für einen Augenblick, nur um Atem zu holen']"
"['einen kurzen Atem haben', 'einen kurzen Atem besitzen']",einen kurzen Atem haben/besitzen,"kurzatmig, asthmatisch sein","['sie zeigt auch die Medikamente, die ihre Kinder nehmen, gegen den kurzen Atem und gegen die Aggressionen.']"
"['einen kurzen Atem haben', 'einen kurzen Atem besitzen']",einen kurzen Atem haben/besitzen,"kein Durchhaltevermögen haben, nur von relativ kurzer Dauer sein",['Das Projekt dieser Fusion besaß aber einen kurzen Atem und wurde wegen nicht überbrückbarer Differenzen bereits im Herbst abgebrochen.']
"['in einem Atem', 'im selben Atem', 'im gleichen Atem']",in einem/im selben/im gleichen Atem,gleichzeitig,"['Er plädiert für Entscheidungsfreiheit und verlangt von ihr im selben Atem, dass sie sich seinen Wünschen fügt.', 'Diese Selow ist schwermütig und ordinär, beides in einem Atem.']"
"['in einem Atemzug', 'im selben Atemzug', 'im gleichen Atemzug']",in einem/im selben/im gleichen Atemzug,gleichzeitig mit etwas im Grunde Gegensätzlichem,"['Der Oppositionsführer beschimpfte die Regierung, und im selben Atemzug bot er ihr Zusammenarbeit an.', 'Bitte – ich breche das Gespräch sofort ab, wenn du Pius XII. und Hitler in einem Atemzug nennst.']"
"['jemandem eins aufbrennen', 'jemandem einen aufbrennen']",jemandem eins/einen aufbrennen,jemandem einen kräftigen Schlag versetzen,['Der Kutscher hatte ihm vor Wut eins mit der Peitsche aufgebrannt.']
"['jemandem eins aufbrennen', 'jemandem einen aufbrennen']",jemandem eins/einen aufbrennen,jemanden anschießen,"['Der Förster wollte dem Wilddieb eins aufbrennen, traf aber nicht.', 'Ich träumte, dass ich dich killen wollte, dich einfach abmurksen, dir einen aufbrennen wollte, um von dir loszukommen', 'Und könnte sich nicht Gottfried mal auf die Lauer legen und den Kerlen mit dem Luftgewehr eins aufbrennen?, fragte Harry unschuldig']"
"['wie ein Hefekloß aufgehen', 'wie ein Pfannkuchen aufgehen', 'wie eine Dampfnudel aufgehen']",wie ein Hefekloß/ein Pfannkuchen/eine Dampfnudel aufgehen,"dick, korpulent werden",['Seine Frau ist in letzter Zeit aufgegangen wie ein Hefekloß.']
"['bei jemandem, irgendwo gut aufgehoben sein', 'bei jemandem, irgendwo schlecht aufgehoben sein']","bei jemandem, irgendwo gut/schlecht aufgehoben sein","bei jemandem, irgendwo in guter Obhut sein","['Die Kinder sind bei den Großeltern gut aufgehoben.', 'Lassen Sie die Erinnerung daran meine Sache sein, bei mir ist sie wohl aufgehoben.']"
"['aufpassen wie ein Schießhund', 'aufpassen wie ein Heftelmacher', 'aufpassen wie Haftelmacher', 'aufpassen wie ein Luchs']","aufpassen wie ein Schießhund/wie ein Heftelmacher/Haftelmacher/wie ein Luchs","bei etwas besonders genau, scharf aufpassen, damit einem nichts entgeht","['Abschreiben? Das kannst du vergessen. Der alte Lehrer passt auf wie ein Luchs.', 'wenn Maurits nicht aufpasste wie ein Haftelmacher hätten es ihm die Dorfbuben längst zu Schrott gefahren', 'Und wie ein Schießhund hat er aufgepasst, dass keiner ihm ein Wörtlein an seinen Texten änderte']"
"['sich nicht mehr aufrecht halten können', 'sich kaum noch aufrecht halten können']",sich nicht mehr/kaum noch aufrecht halten können,"zum Umsinken müde, völlig erschöpft sein","['Es war noch früh, erst gegen sechs, aber ich konnte mich einfach nicht mehr aufrecht halten.']"
"['da musst du früher aufstehen', 'da musst du eher aufstehen']",da musst du früher/eher aufstehen,"da musst du dir schon etwas Besseres einfallen lassen, um etwas auszurichten",['Du kannst mich nicht beleidigen. Da musst du früher aufstehen.']
"['nicht mehr aufstehen', 'nicht wieder aufstehen']",nicht mehr/nicht wieder aufstehen,nicht wieder gesund werden und sterben,"['Mit siebzig hatte er einen Schlaganfall, und wir fürchteten alle, er würde nicht wieder aufstehen.']"
"['mit dem linken Bein aufgestanden sein', 'mit dem linken Fuß aufgestanden sein', 'mit dem falschen Bein aufgestanden sein', 'mit dem falschen Fuß aufgestanden sein']",mit dem linken/falschen Bein/Fuß aufgestanden sein,schlecht gelaunt sein,['Warum bist du denn so brummig? Bist wohl mit dem linken Bein zuerst aufgestanden?']
"['übel aufstoßen', 'sauer aufstoßen']",übel/sauer aufstoßen,"Unbehagen, Ärger verursachen","['Dass diese Ausgaben in Zeiten übel aufstoßen, in denen vor allem im Geldbeutel der Bürger gespart wird, ist den Betroffenen bewusst', 'Dieses Vorgehen stieß dem Referendumskomitee sauer auf']"
"['das ist ein Aufwasch; das geht in einem Aufwasch', 'das ist ein Aufwasch; das geht in einem Abwasch', 'das ist ein Aufwasch; das machen wir in einem Aufwasch', 'das ist ein Aufwasch; das machen wir in einem Abwasch', 'das ist ein Abwasch; das geht in einem Aufwasch', 'das ist ein Abwasch; das geht in einem Abwasch', 'das ist ein Abwasch; das machen wir in einem Aufwasch', 'das ist ein Abwasch; das machen wir in einem Abwasch']",das ist ein Aufwasch/Abwasch; das geht/das machen wir in einem Aufwasch/Abwasch,das lässt sich alles zusammen erledigen,"['Wenn ich den Koffer aufgebe, kann ich auch gleich die Fahrkarten besorgen, das ist dann ein Aufwasch.', 'Finanziell besteht also keinerlei Grund, die Pflegeversicherung in einem Aufwasch mit den anderen Sozialversicherungen hektisch zu reformieren.']"
"['die Augen aufmachen', 'die Augen aufsperren', 'die Augen auftun']",die Augen aufmachen/aufsperren/auftun,"achtgeben, was um einen herum vorgeht","['Mach die Augen auf, wenn du über die Straße gehst! Man muss schon die Augen auftun, wenn einem bei dem Skizirkus nichts passieren soll.']"
"['die Augen offen haben', 'die Augen offen halten']",die Augen offen haben/offen halten,"achtgeben, aufpassen, damit einem nichts entgeht","['Die Augen offen halten, rät folglich die Polizei', 'Man muss die Augen offen haben für den vielfältigen Zauber, den die Natur hier bietet']"
"['die Augen schließen', 'die Augen zumachen', 'die Augen zutun']",die Augen schließen/zumachen/zutun,sterben,"['Was also geschieht mit den Menschen, die wir geliebt haben, wenn sie die Augen schließen?', 'Mehr hatte der Alte eigentlich nie gewollt Er konnte ruhig die Augen schließen und tat dies vier Monate später']"
"['die Augen auf null stellen', 'die Augen auf null drehen']",die Augen auf null stellen/drehen,sterben,"['Ich hatte jedenfalls tierisch Schiss, dass mein Kollege die Augen auf null dreht', 'Und auch kein Whodunit-Krimi – denn wer dem Jungen die Augen auf null gedreht hat, steht nach einigen Seiten fest']"
"['ein Auge zudrücken', 'beide Augen zudrücken']",ein Auge/beide Augen zudrücken,"etwas nachsichtig, wohlwollend übersehen","['Die Lehrerin hatte noch einmal ein Auge zugedrückt und so waren sie von der gefürchteten Strafe glücklich verschont geblieben. ich hätte damals Methoden angewendet, bei denen man heute beide Augen zudrücken müsste.']"
"['kein Auge zutun', 'kein Auge zumachen']",kein Auge zutun/zumachen,nicht schlafen,"['Sie hatte vor Kummer die ganze Nacht kein Auge zugetan. Glauben Sie vielleicht, wir hätten heute Nacht ein Auge zugetan?']"
"['ein Auge voll Schlaf nehmen', 'ein paar Augen voll Schlaf nehmen']",ein Auge/ein paar Augen voll Schlaf nehmen,ein wenig schlafen,"['Bevor wir zur nächsten Etappe aufbrechen, möchte ich noch ein Auge voll Schlaf nehmen. In der Unterkunft kann man im Mehrbettzimmer oder in einem pivaten Einzelzimmer ein paar Augen voll Schlaf nehmen.', 'So versuchen wir ein Auge voll Schlaf zu nehmen.']"
"['seine Augen überall haben', 'seine Augen vorn und hinten haben']",seine Augen überall/vorn und hinten haben,"alles genau beobachten, damit einem nichts entgeht","['Es war nicht viel mit Faulenzen auf dem Bau, denn der Polier hatte seine Augen überall.', 'Er hat seine Augen überall, fährt bedächtig und rücksichtsvoll.']"
"['hast du keine Augen im Kopf?', 'haben Sie keine Augen im Kopf?']",hast du/haben Sie keine Augen im Kopf?,kannst du/können Sie nicht aufpassen?,"['Du hättest mich fast umgerissen, hast du denn keine Augen im Kopf?']"
"['sich nach jemandem, etwas die Augen ausgucken', 'sich nach jemandem, etwas die Augen aus dem Kopf gucken', 'sich nach jemandem, etwas die Augen aus dem Kopf schauen']","sich nach jemandem, etwas die Augen ausgucken/aus dem Kopf gucken/schauen","angestrengt nach jemandem, etwas Ausschau halten","['Da bist du ja endlich, ich habe mir schon seit Stunden die Augen nach dir ausgeguckt. Ich habe mir die Augen aus dem Kopf geguckt kein Taxi weit und breit.']"
"['sich die Augen ausweinen', 'sich die Augen rot weinen', 'sich die Augen aus dem Kopf weinen']",sich die Augen ausweinen/rot weinen/aus dem Kopf weinen,heftig weinen,"['Sitzt in ihrem Zimmer und weint sich die Augen aus dem Kopf, das arme Kind. So ist das beim ersten Liebeskummer.', 'Das Fräulein kann sich nun die Augen ausweinen um ihren toten Schatz.']"
"['kein Auge von jemandem, etwas lassen', 'kein Auge von jemandem, etwas wenden']","kein Auge von jemandem, etwas lassen/wenden","jemanden unverwandt ansehen, jemanden, etwas aufmerksam beobachten","['Und natürlich war auch eine Frau im Spiel, von der ich den ganzen Abend kein Auge lassen konnte', 'Der Voyageur mit dem Einsteinkomplex lässt kein Auge von dem goldenen Fenster', 'lange, lange stand er da und rührte sich nicht und wandte kein Auge von dem schlafenden Kind ab']"
"['jemandem etwas an den Augen ablesen', 'jemandem etwas von den Augen ablesen']",jemandem etwas an/von den Augen ablesen,"erraten, was jemand insgeheim haben möchte, was in ihm vorgeht","['Nach den Vorstellungen der Männer sollten die Frauen in der Küche stehen, jeden Wunsch von den Augen ablesen können und sich um die Kinder kümmern', 'Den Stolz über die neue Wohnung konnte man den neuen Eigentümern von den Augen ablesen', 'Onlinewerbung kann zielgenau sein, gewissermaßen dem Nutzer seine Interessen von den Augen ablesen']"
"['jemanden, etwas nicht aus dem Auge lassen', 'jemanden, etwas nicht aus den Augen lassen']","jemanden, etwas nicht aus dem Auge/aus den Augen lassen","jemanden, etwas scharf beobachten","['Während er badete, ließ er seine Sachen am Ufer nicht aus dem Auge. dabei fühlte sie, wie der Fremde sie nicht aus den Augen ließ und ihr den eigenen Körper so bewusst machte, als ob er ihn streichelte.']"
"['jemanden, etwas aus dem Auge verlieren', 'jemanden, etwas aus den Augen verlieren']","jemanden, etwas aus dem Auge/aus den Augen verlieren","jemanden aus dem Blickfeld verlieren, zu jemandem, etwas den Kontakt verlieren","['Nach Schulabschluss verloren sie sich aus den Augen.', 'Im dichten Feierabendverkehr verlor er sie am Stadtrand aus den Augen.']"
"['jemanden, etwas im Auge behalten', 'jemanden, etwas im Auge haben']","jemanden, etwas im Auge behalten/haben","jemanden, etwas beobachten, in seinem weiteren Verlauf, bei den weiteren Aktivitäten verfolgen","['Die Polizei behielt ihn nach seiner Entlassung noch einige Zeit im Auge. Die Vorstände wollten eine Fusion der beiden Vereine im Auge behalten. Einstweilen also sollten wir uns auf diese Bahn beschränken, denn dabei konnten die auf der Veranda sitzenden Erwachsenen uns im Auge haben.']"
"['in jemandes Augen steigen', 'in jemandes Augen sinken']",in jemandes Augen steigen/sinken,"bei jemandem an Ansehen, Achtung gewinnen/verlieren","['Mit dem Doktortitel war ich natürlich in den Augen meiner Schwiegereltern enorm gestiegen. Er begann in unseren Augen zu sinken, als sich die ersten Anzeichen seiner Labilität zeigten.']"
"['ins Auge springen', 'ins Auge fallen', 'in die Augen springen', 'in die Augen fallen']",ins Auge/in die Augen springen/fallen,"als Merkmal so offensichtlich sein, dass man es nicht übersehen kann, dass es sofort auffällt","['Der Qualitätsunterschied der beiden Teppiche fiel ihm sofort ins Auge.', 'Die einfachste, ins Auge fallende Einteilung des Waldes ist die nach Nadelwald, Laubwald und Mischwald', 'Während die Baustelle augenfällig für viele Passanten ist und sich die Anwohner darüber freuen, bald wieder eine nutzbare Brücke zu haben, gibt es Arbeiten, die nicht so ins Auge springen. So wird ein alter Gehweg, der heute kaum noch den Namen verdient, hergerichtet und für Radfahrer ausgebaut']"
"['ins Auge stechen', 'in die Augen stechen']",ins Auge/in die Augen stechen,"so sehr gefallen, dass er es haben möchte",['Der Hosenanzug stach seiner Frau schon lange ins Auge.']
"['ins Auge stechen', 'in die Augen stechen']",ins Auge/in die Augen stechen,auffallen,"['Der Major war ein Hüne, dessen organische Unschuld an der Disposition und Aufnahmelustigkeit des Töchterchens in die Augen stach', 'Das Mädchen streckte eine Hand aus, deren rote Fingernägel Sartorik in die Augen stachen']"
"['einer Sache ins Auge sehen', 'einer Sache ins Auge blicken']",einer Sache ins Auge sehen/blicken,etwas Unangenehmes realistisch sehen und sich dem Betreffenden stellen,"['Die Besatzung des Jumbos sah der Gefahr ruhig ins Auge. Sie mussten der Wahrheit ins Auge sehen Die Firma stand vor dem Ruin.', 'Man hat der Regierung in Bonn häufig vorgeworfen, sie sei nicht bereit, den Realitäten ins Auge zu blicken.']"
"['jemandem zu tief ins Auge sehen', 'jemandem zu tief in die Augen sehen']",jemandem zu tief ins Auge/in die Augen sehen,sich in jemanden verlieben,['der neuen Laborantin zu tief ins Auge gesehen?']
"['mit offenen Augen ins Unglück rennen', 'mit offenen Augen in sein Unglück rennen']",mit offenen Augen ins/in sein Unglück rennen,"trotz des Wissens, dass man sich in eine schlimme Lage bringt, nichts dagegen unternehmen","['Anstatt diszipliniert zu spielen und das Ergebnis zu halten, ist die Mannschaft in den letzten 20 Minuten mit offenen Augen in ihr Unglück gerannt.']"
"['jemanden, etwas mit anderen Augen sehen', 'jemanden, etwas mit neuen Augen sehen']","jemanden, etwas mit anderen/mit neuen Augen sehen","jemanden, etwas mit einem neuen Verständnis betrachten","['Und weil sie seit fünf Minuten ihren Mann mit ganz anderen Augen ansieht, fällt ihr auf, dass er die rechte Hand in der Hosentasche hat', 'Seit ich höre, dass ihm solche Sachen wie die jetzt vorgeworfen werden, sehe ich alles mit ganz anderen Augen an']"
"['etwas nicht nur um jemandes schöner Augen willen tun', 'etwas nicht nur um jemandes blauer Augen willen tun']",etwas nicht nur um jemandes schöner/blauer Augen willen tun,etwas nicht aus reiner Gefälligkeit tun,"['Doch nicht nur um deiner blauen Augen willen! Wenn du glaubst, dass er das alles nur wegen deiner schönen, blauen Augen tut, dann irrst du dich aber.']"
"['jemandem unter die Augen kommen', 'jemandem unter die Augen treten']",jemandem unter die Augen kommen/treten,sich bei jemandem sehen lassen,"['Wenn der Kerl mir noch einmal unter die Augen kommt, passiert etwas.', 'Dass ich ihr nicht mehr unter die Augen treten durfte, war sicher.']"
