Redewendung,Bedeutung,Beispiel
jmdn. zur Ader lassen,jmdm. mit List oder Geschick unverhält- nismäßig viel Geld abnehmen,['Die Bur- schen haben mich gestern beim Skat- abend ganz schön zur Ader gelassen.']
jmdm. etwas ad oculos de- monstrieren,jmdm. etwas durch den Augenschein beweisen,"['Kom- men Sie in mein Labor, dort kann ich Ih- nen ad oculos demonstrieren, wie sehr die Belastung des Sees durch Schadstoffe zugenommen hat.']"
sich an die richtige Adresse wen- den,sich an die zuständige Stelle wenden,"['Gassner mahnt die Bürger, sich an die richtige Adresse zu wenden Für Klagen und Schadensersatzansprüche seien Land und Ministerium für Wirt- schaft und Verkehr zuständig (FR 7. 9. 2000, 5).']"
an die richtige Adresse gera- ten/kommen,an die passende Stelle kom- men.,nan
an die falsche/unrechte/ver- kehrte Adresse kommen/geraten;  an der falschen/unrechten/ver-,bei jmdm.,nan
kehrten Adresse sein,auf eine den positiven Erwartungen entge- gengesetzte Reaktion stoßen; scharf abge- wiesen werden,"['Dass eins klar ist, Herr Schenk. Wenn Sie ’n Denunzianten brau- chen, sind Sie bei mir an der verkehrten Adresse (Bieler, Bär 95). erste.']"
sich  aus der Affäre zie- hen,geschickt  aus einer unangenehmen Situation herausgelangen,"['Man spürt sofort, ob ein windiger Schaumschläger so etwas sagt, der sich nur mit billigen Mätzchen aus der Affäre ziehen will (Thielicke, Ich glaube 53). Und du wirst dich nicht mit einem Witz aus der Affäre ziehen? (Goetz, Prätorius 14).']"
mich laust der Affe!,ich bin völlig verblüfft!,"['Er kniff das linke Auge zu, grinste und sagte Mich laust der Affe! Du bist doch der Abi! (Hörzu 48, 1980, 32).']"
einen Affen sitzen haben,be- trunken sein,['Der Alte hat mal wieder ’nen Affen sitzen. Weckt mit seinem Ge- gröle die ganze Nachbarschaft auf.']
sich einen Affen kaufen/antrin- ken,sich betrinken,['Mir stinkts! Ich geh mir ’nen Affen kaufen!']
einen Affen an jmdm. gefressen haben,jmdn. unmäßig gern haben,"['An dem Münchner Libero hat der Bundes- trainer einen Affen gefressen.', 'Willi hatte an der schwarzhaarigen, immer lus- tigen Lilli, wie man so sagt, einen Affen gefressen (Kühn, Zeit 430).']"
seinem/dem Affen Zucker geben,"seiner Schwäche, Marotte nachgeben","['Der durch zahlreiche TV-Serien auf den Typ des schweren Jungen festgelegte Schauspieler darf seinem Affen Zucker geben und das Brutalo-Klischee herrlich parodieren (www.berlinonline.de/kultur, 29. 3. 1998). Offensichtlich wollte Penker mal so richtig seinem Affen Zucker geben und produzierte im Alleingang eine re- gelrechte Sommer-EP (SAX 8, 1999).']"
jmdn. zum Affen halten,jmdn.  täuschen und veralbern,['Ich lass mich doch nicht von euch zum Affen hal- ten.']
vom wilden Affen gebissen,ganz von Sinnen,"['Was soll denn der Blödsinn? Du bist wohl vom wilden Affen gebissen!', 'Eine Strafak- tion sei es nicht gewesen, dann müssten wir ja vom wilden Affen gebissen sein, betonte der Schalker Trainer (MM 3. 3. 2005).']"
wie ein Affe auf dem Schleifstein sitzen,in krummer Haltung sit- zen und dadurch einen komischen Anblick bieten,"['Sie hatte den Fahrersitz so weit vorgerückt, dass sie wie ein Affe auf dem Schleifstein im Auto saß. Sitzt im Sattel wie der Affe auf dem Schleifstein – und das nennt er reiten.']"
sich zum Affen machen,"sich lä- cherlich machen, sich blamieren","['Politi- ker, die sich zum Affen machen, wirken noch lange nicht volksverbunden (SZ 15. 5. 1996, 13). Geschmack[s]sache, Klappe, schwit- zen, Wald.']"
mit affenartiger Geschwindig- keit,sehr schnell,['Der Ladendieb verschwand mit affenartiger Geschwin- digkeit.']
eine Affenschande sein,"unerhört, empörend sein","['Dieses Deutsch ist eine Affenschande (Tuchol- sky, Werke II 362). Eine Affenschande, dass dieses Werk im Schreibtisch liegt, ereifert sich Theaterdirektor Striese (Hörzu 52, 1973, 39).']"
Aftersausen/Muffensausen bekommen/kriegen,Angst bekommen,"['Bleib lieber unten, sonst bekommst du Aftersausen.']"
Aftersausen/Muffensausen haben,Angst haben,"['Als er oben auf dem Gerüst stand, hatte er ein leich- tes Muffensausen.']"
unter jmds. Ägide,"unter jmds. Leitung, Schirmherrschaft","['Die Präsidentin bestritt energisch, dass unter ihrer Ägide die demokratischen Rechte der Bürger eingeschränkt worden seien.', 'Auch plätten lernte ich unter der Ägide der Mädchen (Dönhoff, Ostpreu- ßen 87).']"
ägyptische Finsternis,tiefste Finsternis,"['Stromausfall durch Ka- belschaden Ägyptische Finsternis in der Londoner Untergrundbahn.', 'Die Stadt, die niemals schläft, die die Nacht zum Tag macht und auch am Tag nicht spart am Glanz, versank in Dunkelheit, in einer ägyptischen Finsternis (SZ 16. 8. 2003, 11).']"
du ahnst es nicht!,Ausruf unangenehmer berraschung,"['Nun haben sich die Neuen beworben, du ahnst es nicht! Zwei haben Kinder, kommt nicht in Frage (taz 4. 11. 2001, 18).']"
etw. sieht jmdm. ähnlich,"etw. passt zu jmds. Charakter, ist typisch für jmds. Verhaltensweise","['Erst große Töne spucken und dann kneifen, das sieht ihm ähnlich. Die Flinte ins Korn werfen? Das sieht dir aber gar nicht ähn- lich!']"
von etw. Ahnung haben,sich mit etw.  auskennen,"['Der Junge redet nicht viel, aber er hat Ahnung vom Programmieren.']"
keine/keine blasse/nicht die leiseste Ah- nung haben,"nicht informiert, unter- richtet sein","['Die Polizisten hatten keine Ahnung, wen sie da verhaftet hatten.', 'So weht ein Hauch von Untergrund durch die Hotline-Gemeinde – Eingeweihten eröff- nen sich Welten, von denen der kommune Surfer keine blasse Ahnung hat (NZZ 21. 5. 1999). Okay, ich besorg dir welche, ver- sprach ich, dabei hatte ich nicht die lei- seste Ahnung, wo ich die Dinger herkrie- gen sollte (FR 8. 3. 1997, 4).']"
von Ackerbau und Viehzucht/von Tuten und Blasen keine Ahnung haben,von einer Sache nicht das Geringste ver- stehen,"['Mein Eindruck Der junge Mann hatte keine Ahnung von Ackerbau und Viehzucht (Spiegel 15, 1990, 246). Ich habe das Gefühl, hier will sich wer dick- tun, der von Tuten und Blasen keine Ah- nung hat (Hacks, Stücke 331).']"
hast du eine Ahnung!,da täuschst du dich aber gewaltig!,"['Keine Gefahr? Mann, hast du eine Ahnung! (Apitz, Wölfe 206). Schimmer.']"
das akademische Viertel,die Viertelstunde nach dem angegebenen oder vereinbarten Termin,"['Es ist schon zehn nach, dein Bruder nimmt wohl das aka- demische Viertel in Anspruch!']"
"das/es ist, um auf die Akazien zu klettern!",es ist zum Verzweifeln!,"['Ausgerechnet jetzt streikt der Fernseh- apparat. Es ist, um auf die Akazien zu klettern!']"
etw. die Akten schließen,"etw. für erledigt erklären, über etw. nicht mehr verhandeln","['Der Inhaber des betroffenen Reisebüros äußerte sein Unverständnis darüber, dass bei einer Tat von dieser Dimension nun bereits die Akten ge- schlossen werden (Freie Presse 1. 12. 2011).']"
etw. zu den Akten legen,etw. als erledigt betrachten,"['Es ist das Beste, wenn wir die ganze Angelegenheit zu den Akten legen.']"
wie stehen die Aktien?,wie gehts?,"['Kollege Keßler schiebt sich heran Na, Pinneberg, wie stehen die Aktien? (Fallada, Mann 215).']"
jmds. Aktien steigen/fallen,jmds. Aussichten auf Erfolg werden besser/ schlechter,"['Seit er einen Sportwagen be- sitzt, sind seine Aktien bei ihr wieder ge- stiegen.']"
in  Aktion,in Tätigkeit,"['Man wollte den Journalisten ein Fernsehstudio in voller Aktion vorführen.', 'Schon tra- ten bei einigen Zuschauern die Taschen- tücher in Aktion (Kranz, Märchenhoch- zeit 25).']"
Akzente setzen,richtungweisend sein,"['Mit ihrem unbekümmerten Offen- sivfußball haben die Aufsteiger in der Bundesliga Akzente gesetzt.', 'Die neue Führung kann daran anknüpfen, wird aber, was Tempo und Entscheidungs- kraft angeht, noch mal eigene Akzente setzen (Handelsblatt 16. 4. 2018, 8). Wenn es schlecht läuft, kann die Bun- desregierung in diesen entscheidenden Monaten in Europa kaum inhaltliche Akzente setzen (Wirtschaftswoche 7. 9. 2018, 26).']"
Alarm schlagen,"die  Aufmerksamkeit auf etw. Gefährliches, Be- drohliches lenken","['Die Posten schlugen Alarm, als sich die Kolonne dem Tor nä- herte.', 'Wenn der Virenscanner Alarm schlägt, ist der verdächtige Prozess ge- stoppt, die Gefahr also erst einmal ge- bannt (c’t 2, 2005, 10).']"
etw. in/im Alkohol ertränken,etw. durch übermäßigen Genuss von alko- holischen Getränken zu vergessen suchen,['Er wollte seinen Liebeskummer im Alko- hol ertränken.']
jmdn. unter Alkohol setzen,jmdn. be- trunken machen,"['Er widerruft sofort; er- klärt, die Geständnisse seien ihm in der Voruntersuchung entrungen worden, nachdem man ihn unter Alkohol gesetzt habe (Noack, Prozesse 252).']"
unter Alkohol stehen,unter dem Einfluss von Alkohol stehen,['Zu Beginn der Be- handlung darf der Patient auf keinen Fall unter Alkohol stehen. Unter Alkohol ste- hende Hooligans randalierten im Sta- dion.']
alles in allem,"im Ganzen gesehen, zu- sammengenommen","[' alles in allem war er ein Genie (Koeppen, Rußland 99). Adalbert benötigte zu seinen Entschei- dungen alles in allem drei Viertelstun- den (Beheim-Schwarzbach, Freuden 23).']"
alles und jedes,jegliches ohne Aus- nahme,"['Um alles und jedes muss man sich hier selbst kümmern.', 'Und doch hatten diesen Diplomaten die Leiden der Seele dahin gebracht, dass er in allem und jedem nur noch pazifistische Ma- chenschaften sah (Musil, Mann 1249).']"
nicht alle haben,nicht recht bei Verstand sein,"['Seit er vom Gerüst gestürzt ist, hat er sie nicht mehr alle. Bei Rot über die Kreu- zung! Ich glaube, die hat nicht mehr alle beisammen.']"
vor allem,"hauptsächlich, besonders","['Es geht vor allem darum, kein Aufsehen zu erregen.', 'Vor allem der alte Leonardo ließ an den Aussagen kein gutes Haar (Jens, Mann 97). Abend, Achtung, Anfang, Anschein, aufhören, Banane, Bein, Brei, But- ter, Christbaum, dabei, Ding, dre- 1 hen, ein, Ende, Gold, grün, Hemd, Karte, Karton, Lack, Latte, Macht, Mädchen, Nadel, niet- und nagelfest, paletti, Rang, recht, Reihe, Scheiße, senkrecht, Tasse, Waagschale, Waf- fel, Welt, Wichse, Zeit.']"
jmdn. alle machen/allemachen,jmdn. umbringen,"['Wenn du mich verpfeifst, mache ich dich alle, warnte der Straßenräuber (BM 11. 3. 1977, 16). dumm.']"
von allein,"von sich aus, automa- tisch","['Von allein wäre sie niemals auf die Idee gekommen.', 'In einer solchen Um- welt, die Spannungen von ganz allein pro- duziert, genügen zumeist nichtige An- lässe (NZZ 1. 2. 1983, 5). Flur, verarschen.']"
das ist  aller- hand !,"das ist un- erhört, unverschämt","['Das ist doch aller- hand, dass aus den Toten der Flutkata- strophe jetzt auch noch politisches Kapi- tal geschlagen wird. und Bilder an den Wänden, nackte Mädels, das ist ja al- lerhand! (Plievier, Stalingrad 141).']"
im Allgemeinen,"ohne Beach- tung kleinerer Unterschiede, im Großen und Ganzen; meistens, gewöhnlich","['Die Behälter sind im Allgemeinen nur für die üblichen Belastungen ausgelegt (Tag & Nacht 2, 1997, 13).']"
allzu viel ist ungesund,man soll nichts übertreiben,"['Sie müssen geschäft- lich und auch privat mal ein wenig kür- zertreten, Sie wissen doch Allzu viel ist ungesund. scharf.']"
Alt und Jung,jedermann,['Alt und Jung strömte zum Oktoberfest.']
alt und grau  werden,sehr lange warten müssen,"['Da kann man ja alt und grau werden, bis man endlich einen Gerichtstermin be- kommt. Bei diesem Job wirst du alt und grau, bevor du die erste Gehaltserhöhung bekommst.']"
da/hier nicht alt werden,"da/ hier o. Ä. nicht lange bleiben, es nicht lange aushalten","['Hier ist ja heute gar nichts los, hier werden wir nicht alt. Dieser Kerl war mir gleich verdächtig Wenn einer schon so heißt. Der wird hier nicht alt (Bobrowski, Mühle 253).']"
alt aussehen,"einen schwachen, schlechten Eindruck machen; im Nachteil sein","['Ohne eigene Website wird man bald recht alt aussehen (taz 4. 7. 2002, 11). wie beim Torwandschießen im ZDF- Sportstudio, wo auch immer die Schach- spieler die National-Fußballer alt ausse- hen lassen (SZ 7. 9. 2000, 11). Wer dage- gen keine solche Klausel im Mietvertrag vereinbart hat, sieht alt aus, wenn er den Vertrag aufkündigen will (SZ 16. 4. 1999, 20).']"
alt wie Methusalem,sehr alt,"[' verspannter Rücken, unbewegliche Lendenwirbel, gereizter Ischiasnerv lie- ßen mich so alt wie Methusalem fühlen (www.ymca.at). Die Frage nach dem bes- ten Betriebssystem ist so alt wie Methu- salem, jedoch sollte sie vor jedem Com- puterkauf grundlegend erörtert werden .']"
"man ist so alt, wie man sich fühlt","für jmds. Alter ist nicht die bereits höhere An- zahl der Lebensjahre ausschlaggebend, son- dern die seelische, geistige und körperliche Verfassung der betreffenden Person","['Wa- rum soll ich mir darüber Gedanken ma- chen, dass ich bald sechzig werde? Man ist schließlich so alt, wie man sich fühlt.']"
aus Alt mach Neu,etwas Altes wurde auf- gearbeitet/soll aufgearbeitet werden,"['Weiß gestrichen sieht das alte Büffet ja richtig toll aus! – Tja, aus Alt mach Neu. Wir werden nicht umziehen, sondern unsere Wohnung von oben bis unten renovie- ren – aus Alt mach Neu!']"
Alte Dame,Mutter,"['Was sagt denn deine Alte Dame dazu, dass du keinen Abend mehr zu Haus bist? Ver- flixt, ich hab vergessen, dass die Alte Dame heute Geburtstag hat!']"
Alte Herrschaften,Eltern,"['Was sagen deine Alten Herrschaften dazu, dass du dein Studium an den Nagel hängen willst?']"
Alter Herr,1. Vater,"['Ich habe unseren Alten Herrn noch nie so wütend gesehen.']"
Alter Herr,2. ehe- maliges aktives Mitglied einer Verbin- dung,"['Als Alte Herren halten sie je- nen skurrilen Männerbünden die Treue, die noch vor zehn Jahren an Nachwuchs- mangel auszusterben drohten (Spiegel 30, 1980, 50).']"
Alter Herr,3. Spieler der Alters- klasse über 32 Jahre,"['Die Alten Herren der Borussia sicherten sich den Turniersieg. Adam, Baum, D-Zug, Einfall, Eisen, Fastnacht, Frische, Fritz, Garde, Ge- 1 werbe, Hase, Hut, Jacke, jung, Ka- mellen, Kavalier, Kohl, Kuh, Liebe, Lied, Platte, Rechnung, Register, riechen, Schwede, Semester, Stiefel, Tag, Vater, Walze, Wein, Welt, Zopf, zusammenpassen, Zustand.']"
"jmdn., etw. auf dem Altar der Freundschaft/der Liebe/des Vaterlandes opfern","jmdn., etw. für die Freundschaft/die Liebe/das Vaterland preisgeben",['Sie hat ihren Traum von einer großen Karriere auf dem Altar der Liebe geopfert.']
jmdn. zum Altar führen,heiraten,['Gestern hat er seine langjährige Mitarbeiterin zum Altar geführt.']
"wie die Alten sungen, so zwitschern  die Jungen",die  Eigen- schaften der Eltern/vorangehenden Gene- rationen zeigen sich auch bei den Kin- dern/nachfolgenden Generationen,"[' da- durch gekennzeichnet, dass Beruf und Wertvorstellungen von den Eltern über- nommen werden (wie die Alten sungen, so zwitschern auch die Jungen) (Ettrich, Verhaltensauffällige 24). Wie die Alten sungen, so summen die Jungen. Die neue Bundesregierung tritt beim Bundesver- fassungsgericht so markig auf wie die vo- rige (www.datenschutz-berlin.de, 16. 12. 1998).']"
sich auf sein/aufs Altenteil set- zen/zurückziehen,"sich aus Altersgründen vom öffentlichen Leben zurückziehen, nicht mehr aktiv tätig sein","['An deutschen Schulen steht der größte Generations- wechsel seit 25 Jahren an. Rund die Hälfte der etwa 800 000 Lehrer ziehen sich in den nächsten zehn Jahren aufs Altenteil zurück (Spiegel 14, 2001, 72).']"
jmdn. aufs Altenteil schicken/setzen/ab- schieben,"jmdn. vorzeitig aus einer Stellung verdrängen, ihn nicht mehr aktiv teilhaben lassen","['Sein Vater dachte gar nicht daran, sich mit 58 bereits aufs Al- tenteil setzen zu lassen. Helga, ich lasse mich nicht aufs Altenteil abschie- ben. Auf die Idee käme keiner, der dich sieht, sagte sie zärtlich (Danella, Hotel 345).']"
seit alters,"seit langer Zeit, von jeher","['Für die Geschichte der Kunst interessieren sich die Menschen seit al- ters (Bild. Kunst I, 27).']"
von alters her,"seit langer Zeit, von jeher","['Von alters her gelten Gewitter als besonders einprägsame Naturereignisse (Luzerner Tagblatt 31. 7. 1984, 20).']"
vor alters,"vor langer Zeit, einst- mals",['Vor alters stand dort eine Burg.']
das ist so sicher wie das Amen in der Kirche/im Gebet,das ist ganz gewiss,"['Darauf, das sei so sicher wie das Amen im Gebet, habe man es abgesehen (Zauner, Dohlen 17). Der Anstieg des Meeresspiegels hört nicht auf, das ist si- cher wie das Amen in der Kirche (Kölner Stadt-Anzeiger 10. 11. 2019, A009).']"
sein Amen zu etw. geben,seine Zu- stimmung zu etw. geben,"['Mein Freund will auch als Schlachtenbummler mitfahren, wenn seine Frau ihr Amen dazu gibt. Dann muss die Schulbehörde, die jedes Jahr drei Schulen in Hamburg zu Ganz- tagsschulen umfunktioniert, noch ihr Amen geben (taz 11. 2. 2003, 24). ja.']"
Amok laufen,1. in einem Zustand krankhafter Verwirrung mit einer Waffe umherlaufen und blindwütig töten,"['Ein pflichtbewusster Bahnwärter läuft Amok, nachdem sein geliebter Sohn aus erster Ehe vom Zug erfasst wurde und zu Tode kam, und erschlägt mit dem Beil seine zweite Ehefrau und ihr ge- meinsames Baby (SZ 20. 10. 2001, 20).']"
Amok laufen,2. völlig außer Kontrolle geraten,"['Chefre- dakteure wurden am Telefon unflätig beschimpft, die Abo-Abteilung musste Kündigungsdrohungen abwehren, Fax- geräte liefen Amok, und über hundert empörte Leserbriefe gingen ein (taz 3.9. 1998, 20).']"
Amors Pfeil/Pfeile,plötzli- ches Sichverlieben,"['Hüte dich vor Amors Pfeilen, genieße deine Jugend frei und ungebunden!', 'Von Amors Pfeil getrof- fen, entflammt der Straßenmusikant Otto in Liebe zu der schönen Tina (www.dvdathome.de). In der griechisch-römischen Mythologie ist', 'Amor der Sohn der Liebesgöttin Venus und des Kriegsgottes Mars. Die', 'Pfeile ste- hen für die Plötzlichkeit, mit der zwei Menschen von der Liebe getroffen wer- den. Beim Abschuss wird er klassischer- weise mit verhüllten Augen dargestellt als Sinnbild für die blinde, unvorhersehbare Liebe Man weiß nie, wen es trifft.']"
