Redewendung,Bedeutung,Beispiel
"ein Angebot, das jemand nicht ablehnen kann","ein sehr überzeugendes, mit einem gewissen Druck verbundenes Angebot, auch Drohnung","Die Urteile zeigen, dass der öffentlich-rechtliche Rundfunk nach Auffassung der Richter ein Angebot ist, das man nicht ablehnen kann. Eine solche Bitte einer Kanzlerin, sagt er, das sei ein Angebot, das man nicht ablehnen könne, eine Pflicht und eine Ehre."
jemandem etwas angedeihen lassen,jemandem etwas zuteilwerden lassen,"Er lässt seinen Kindern wirklich eine sehr gute Erziehung angedeihen. Zart und aromatisch aber werden Entenmägen erst durch die Behandlung, die ihnen der Koch angedeihen lässt, zum Beispiel für einen Salat von Entenmägen."
wie angegossen sitzen/passen,"genau passen, einen tadellosen Sitz haben","Das Kleid sitzt wie angegossen. Das Kostüm passte [ihr] wie angegos sen. Ich trug lacklederne Reitstiefel vom besten Schuster in Berlin, die wie angegossen saßen."
etwas aus den Angeln heben,"etwas aus dem Gleichgewicht bringen, grundlegend ändern","Ist es wirklich so leicht bei uns, das Recht und die Menschlichkeit aus den Angeln zu heben, ohne dass etwas passiert?. Sie waren zu kühler Objektivität gar nicht in der Lage. Denn hier wurde ja ihr Leben aus den Angeln gehoben."
aus den Angeln gehen,"auseinanderfallen, zugrunde gehen","Er hoffte darauf, dass das Imperium bald aus den Angeln gehen würde. Fisch, Tür."
im Angesicht,"1. angesichts, beim Anblick","Im Angesicht des Todes wollte er sein Gewissen erleich tern. Gehen Sie, was erlauben Sie sich im Angesicht des Heiligen Vaters!."
im Angesicht,2. im Hinblick auf,"Im Angesicht der Tatsache, dass Sie unser Ansehen geschädigt haben, schlie ßen wir Sie aus dem Verein aus. Gewiss, die technischen Schwierigkeiten der Umlegung werden sehr groß sein, aber was bedeuten sie im Angesicht der Geschichte."
es jemandem angetan haben,jemanden ganz für sich einnehmen,"Na, der junge Tennisstar hat es Ihrer Tochter wohl sehr angetan? Ihre schwarzbraunen Augen hatten es ihm angetan."
etwas in Angriff nehmen,mit etwas entschlossen beginnen,Wann nehmen wir den nächsten Bauabschnitt in Angriff? Ein geschickter Koch konnte während der viereinhalb Minuten noch nebenbei etwas anderes in Angriff nehmen.
jemandem wird angst,"jemand bekommt Angst, fürchtet sich","Als er mit Vollgas die Kurve ansteuerte, wurde mir nun wirklich angst. Im Winter zumal wird mir angst und bange um ihn, bei Frost, wenn er keuchend die eisige Luft in sein erhitztes Inneres pumpt."
jemandem ist angst,jemand hat Angst,"Mir ist angst und bange um ihn. Morgen würde er sein Ferngespräch mit Jill führen, obgleich ihm jetzt schon angst und bange davor war."
mehr Angst/Schiss als Vaterlandsliebe haben,"so viel Angst haben, dass man zu einem bestimmten Tun, das von einem erwartet werden könnte, nicht bereit ist","Die anderen aus der Klasse werden uns nicht helfen, die haben doch mehr Angst als Vaterlandsliebe."
es mit der Angst bekommen/kriegen,plötzlich von Angst erfasst werden,"Als er aufs Polizeirevier kommen sollte, kriegte er es mit der Angst. Als es ihm schwarz vor Augen wurde, bekam er es mit der Angst zu tun."
jemandem Angst machen,jemanden in Angst versetzen,Er machte dem Kind mit seinen Drohungen Angst und Bange. Die Unvermeidlichkeit des Bestehenden hat ihr Angst gemacht.
"jemanden, einer Sache etwas/nichts anhaben können/wollen","jemandem, einer Sache Schaden/keinen Schaden zufügen können/wollen","Nicht einmal die Weltwirtschaftskrise konnte dem Wachstumszweig des Tourismus etwas anhaben. Wenn wir uns einig sind, kann uns niemand was anhaben. Hose, Schussstiefel, Spendierhosen."
per Anhalter,als Tramper,"Die beiden Opfer waren per Anhalter unter wegs gewesen. Im Laufe des späten Sonntagabends waren die Buben wieder abgehauen und per Anhalter nach Schweinfurt gefahren, wo sie auf dem Bahngelände herumstromerten."
auf Anhieb,"sofort, gleich zu Beginn",Mit Pauline verstand er sich auf Anhieb. Riepp enttäuscht nicht. Er liefert auf Anhieb ein Meisterwerk.
Anker werfen/vor Anker gehen,"1. den Anker auswerfen, ankern","In einer einsamen Bucht warfen sie Anker. Die Erregung hatte sich gelegt, der Schleppzug ging für die Nacht vor Anker."
Anker werfen/vor Anker gehen,2. Rast machen; sich niederlassen,"Nach seiner Pensionierung wollte er raus aus Hamburg und in einem kleinen Ort in den Marschen vor Anker gehen. Hier warf ich Anker, hier war es für eine Stunde auszuhalten."
vor Anker liegen,mit dem Anker am Grund festgemacht sein,Draußen vor der Hafeneinfahrt lag das holländische Frachtschiff vor Anker.
jemanden unter Anklage stellen,jemanden anklagen,"Der Staatsanwalt wird den Verdächtigen unter Anklage stellen, sobald eindeutige Beweise vorliegen."
auf der Anklagebank sitzen,angeklagt sein,Er sitzt schon zum dritten Mal auf der Anklagebank. Darüber hinaus saßen auf der Anklagebank drei ehemalige Volkskommissare.
"jemanden, etwas auf die Anklagebank bringen/setzen","jemanden, etwas anklagen, für etwas verantwortlich machen","Er will nicht den einzelnen Priester an den Pranger stellen, sondern gleich die ganze Institution Katholische Kirche auf die Anklagebank bringen. Eigentlich wieder so ein Film, der das Militär auf die Anklagebank setzt, sich aber nicht sattsehen kann an den schmucken Uniformen vor Gericht."
Anklang finden,"mit Zustimmung, mit Beifall aufgenommen werden",Die Vorschläge des Betriebsrates fanden bei der Geschäftsleitung keinen Anklang. Größeren Anklang finden E-Books nur in der Altersgruppe der 30bis 44-Jährigen.
es auf etwas ankommen lassen,"vor etwas nicht zurückschrecken, ein bestimmtes Risiko eingehen","Auf einen offenen Bruch können es die Koalitionspart ner nicht ankommen lassen. Clara konnte sich nicht vorstellen, dass ihr Vater bis zum Äußersten gehen und es tatsächlich auf ein Gerichtsverfahren ankommen lassen würde."
es drauf ankommen lassen,"abwarten, wie sich die Dinge entwickeln",Beim Ausbau der europäischen Stromund Gasnetze möchte er es nicht darauf ankommen lassen.
Ankratz haben/finden,(bes. in Bezug auf weibliche Personen) begehrt sein,Maria vom Schlage Marilyn hatte überall Ankratz und sammelte Verehrer wie andere Wandteller.
sich einen ankümmeln,sich einen kleinen Rausch antrinken,"Erst gucken wir uns das Fußballspiel an, und danach werden wir uns ganz gemütlich einen ankümmeln."
im Anmarsch sein,1. anrücken,Die feindlichen Truppen waren bereits im Anmarsch auf die Außenbezirke der Stadt.
im Anmarsch sein,2. sich ankündigen,"Als er den Eindruck gewonnen hatte, dass die Räterepublik im Anmarsch sei, machte er sich zum Wortführer."
in die Annalen eingehen,unvergessen bleiben,Diese Tat wird zweifellos in die Annalen eingehen.
das kannst du annehmen!,das ist sicher!,"Dem werd ich die Meinung geigen, das kannst du annehmen!"
angesagt sein,2. unmittelbar bevorstehen,"Schon nach der ersten Halbzeit wussten alle, dass eine Niederlage der Heimmannschaft angesagt war. Für viele steht der Winterurlaub vor der Tür. Reisen sind angesagt."
etwas in Ansatz bringen,"etwas veranschlagen, ansetzen","Für den Umbau des Rathauses wurden 7,8 Millionen Euro in Ansatz gebracht."
sich einen ansaufen,sich betrinken,"Kumiak gab endlich dem starken Wunsch nach, sich einmal umsonst und nach Herzenslust einen anzusaufen."
sich einen ansäuseln,sich leicht betrinken,"Die Dame hat sich einen angesäuselt, wir sollten ihr ein Taxi bestellen."
auf Anschaffe gehen,der Prostitution nachgehen,Aber vorerst gehe ich noch zwei oder drei Jahre auf die Anschaffe.
dem/allem Anschein nach,"anscheinend, vermutlich","Er war allem An schein nach Ausländer. Die junge Bedienung, die dem Anschein nach gerade ihr Taschengeld aufbesserte, war nicht besser dran."
den Anschiss haben,"keine Lust haben, frustriert sein","Wenn jemand total demotiviert ist und den Anschiss hat, kann man keine besondere Leistung erwarten."
im Anschluss an,1. unmittelbar nach,Im Anschluss an die Preisverleihung fand ein Empfang statt.
den Anschluss verpassen,"1. keinen partner, keine partnerin finden","Anfang vierzig und keinen Lebensgefährten; sieht so aus, als hätte sie über ihre Karriere den Anschluss verpasst."
den Anschluss verpassen,"2. beruflich hinter der technischen und/oder wissenschaftlichen Entwicklung zurückbleiben, nicht mehr wettbewerbsfähig sein","Also mutig voran, damit wir nicht den Anschluss verpassen! Es muss endlich Schluss sein mit der Diffamierung der Gentechnik."
bei jemandem gut/schlecht angeschrieben sein,bei jemandem in gutem/schlechtem Ansehen stehen,"Sprich du doch einmal mit ihm, du bist doch bei ihm gut angeschrieben. Ugandas Präsident, des Krieges wegen bei den Geldgebern schlecht angeschrieben, will Frieden. Ich war nicht dumm, trotz meiner Jugend, und also war ich gar bald gut angeschrieben bei meinen Vorgesetzten."
"das, etwas ist Ansichtssache","darüber, über etwas kann man verschiedener Meinung sein","Wie man darauf reagiert, das ist doch wohl Ansichtssa che. Die Art der Kopfbedeckung ist Ansichtssache."
Ansprüche stellen,anspruchsvoll sein,"Ich stelle keine Ansprüche; ein Bett, ein Tisch und ein Stuhl sind alles, was ich in dem Zimmer brauche. Aber da ich nicht unglücklich war und keine übertriebenen Ansprüche an das Leben stellte, kam ich mit mir überein, ich sei glücklich."
"jemanden, etwas in Anspruch nehmen","1. jemanden beanspruchen, etwas erfordern",Die Arbeit nimmt mich sehr in Anspruch. Die Aussagen des Gerichtsarztes und der Kriminalbeamten nahmen nicht viel Zeit in Anspruch.
"jemanden, etwas in Anspruch nehmen",2. sich einer Sache bedienen,Darf ich Ihre Gastfreundschaft in Anspruch nehmen?
etwas anstehen lassen,"etwas, was dringend geändert, erledigt usw. werden müsste, hinausschieben, nicht in Angriff nehmen","Solche Probleme darf man nicht lange anstehen lassen, hier muss sofort gehandelt werden. Wenn er es anstehen lässt, müssen die Zähne extrahiert werden."
sich anstellen wie der Ochs beim Seiltanzen,sich sehr ungeschickt anstellen,"Gib mir mal den Schraubenschlüssel, du stellst dich ja an wie der Ochs beim Seiltanzen!"
"gegen jemanden, etwas nicht anstinken können","gegen jemanden, etwas nichts ausrichten können",Du kannst doch nicht gegen die da oben anstinken!. Gegen Fakten kann man nicht anstinken.
an etwas Anstoß nehmen,"über etwas, was gegen das eigene sittliche Empfinden, gegen den Moralkodex verstößt, Ärger, Unwillen empfinden, zum Ausdruck bringen",Sie nahm an seinem Benehmen keinen Anstoß. An einigen Stellen hat die Zen sur Anstoß genommen. Aber Herr Professor! Nehmen Sie gar an dieser entblößten Brust aus Stein Anstoß?. Stein.
Anteil an etwas haben,durch Mitwirken an etwas beteiligt sein,An der Sicherung des Friedens hatte die UNO damals nur geringen Anteil. Lesurques aber hat überhaupt nicht den geringsten Anteil an diesem Verbrechen gehabt.
Anteil an etwas nehmen,1. sich an etwas aktiv beteiligen,"Er nahm an dem Spiel kei nen Anteil. Sie saß blass dabei, ohne an dem Gespräch tätigen Anteil zu nehmen."
sich einen antrinken,sich betrinken,"Bei den Katholischen, sagte er, trinkt sich der Pastor jeden Morgen einen an mit Wein, aber den anderen gibt er nichts ab. Affe."
Anwendung finden,angewendet werden,Die neuen Bestimmungen haben bisher noch keine Anwendung gefunden. Heute ist das Penizillin in seiner chemischen Struktur genau aufgeklärt und findet eine weltweite Anwendung.
etwas in/zur Anwendung bringen,etwas anwenden,"Bei der Berechnung der Liegegelder wird ein anderer Satz in Anwendung gebracht. Doch wenn man ein Gesetz politisch als so problematisch einschätzt, dass man es nur in Ausnahmefällen zur Anwendung bringen will, sollte man es besser ganz streichen."
zur Anwendung kommen,angewendet werden,Bei den nächsten Europameisterschaften werden die neuen Bestimmungen bereits zur Anwendung kommen. Dieses Formprinzip kommt aber in doppelter Weise zur Anwendung.
wie angewurzelt stehen/stehen bleiben,regungslos stehen/stehen bleiben,"Sie stand wie angewurzelt da und schaute mich mit großen Augen an. Er blieb stehen wie angewurzelt, während sie davonschlenderten in enger Umarmung."
"von jemandem, etwas angezogen werden wie die Motten vom Licht","unwiderstehlich in den Bann einer Person, Sache gezogen werden","Frauen werden von ihm angezogen wie die Motten vom Licht. Durch so etwas wird die Presse natürlich angezogen wie die Motten vom Licht – quotenhungrige Moderatoren gieren nach psychopathischen Killern. Von Unternehmen mit einer großen Gewinndynamik werden sie angezogen wie die Motten vom Licht. Gegensatz, Jacke, Kandare, Schuh, Spendierhosen, Steuerschraube, warm, Zügel."
aus dem Anzug springen,"sich aufregen, in Wut geraten","Wenn ich mal ’ne schlechte Zensur nach Hause bringe, springst du gleich aus dem Anzug."
aus dem Anzug fallen,"so abgemagert sein, dass man seine Kleidung nicht mehr ausfüllt","Den Kollegen erkennt man kaum noch wieder, so ist der aus dem Anzug gefallen."
jemanden aus dem Anzug pusten,1. jemanden verprügeln,"Wenn du noch ein Wort sagst, puste ich dich aus dem Anzug!"
jemanden aus dem Anzug pusten,2. jemanden umbringen,"In den Siebzigern hat sie sich als schwarze Powerfrau des sogenannten Blaxploitation-Kinos Kultstatus erworben. Darin pustete sie schon reihenweise Typen aus dem Anzug, noch bevor Tarantino Pulp Fiction ordentlich buchstabieren konnte."
etwas aus dem Anzug schütteln,"sich von etwas nicht berühren lassen, von etwas unbeeindruckt bleiben","Ich muss das erstmal selbst verarbeiten, 19 gemeinsame Jahre kann ich nicht so aus dem Anzug schütteln."
jemanden aus dem Anzug stoßen,1. jemanden verprügeln,"Soll ich den Kerl aus dem Anzug stoßen, oder wollen wir ihn noch mal laufen lassen?"
jemanden aus dem Anzug stoßen,"2. jemanden erschüttern, demoralisieren",Wir lassen uns durch die schlechte Konjunkturprognose nicht aus dem Anzug stoßen.
im Anzug sein,sich nähern,"Feindliche Truppen waren im Anzug. Er war davon überzeugt, dass Gefahr im Anzug sei. Ende Juli kamen die Ultimaten, und das Gewitter, das seit Jahren im Anzuge war, brach los. gucken, Mann."
sich einen anzwitschern,sich einen Schwips antrinken,Jeden Abend nach dem Essen hat sich Großmutter ihre Flasche Kümmellikör neben den Sessel gestellt und sich gemütlich einen angezwitschert.
der Apfel fällt nicht weit vom Stamm/nicht weit vom Pferd,"jemand ist in seinen Anlagen, seinem Verhalten den Eltern bzw. einem Elternteil sehr ähnlich",Die Eltern sind musikbesessen und so ist es die Tochter – der Apfel fällt nicht weit vom Stamm.
für einen Apfel und ein Ei/für ’n Appel und ’n Ei,"sehr billig, für einen unbedeutenden Betrag",Für einen Apfel und ein Ei kann man im Ausverkauf schöne Pullover bekommen. In diesem Park treibt sich doch nur das Letzte rum – die tuns für ’n Appel und ’n Ei.
in den sauren Apfel beißen,etwas Unangenehmes notgedrungen tun,"Wenn sich alle drum drücken, muss ich wohl in den sauren Apfel beißen und den Wochenputz mal wieder alleine machen."
der Appetit kommt beim/mit dem Essen,"wenn man erst einmal mit etwas angefangen hat, kommt auch die Lust dazu","Eigentlich hatte er sich nie fürs Skifahren interessiert, aber der Appetit kommt beim Essen Heute steht er jede freie Minute auf den Brettern."
guten Appetit!,Wunschformel zur Einleitung einer gemeinsamen Mahlzeit oder wenn man jemanden essen sieht,"Hat jeder seine Suppe? Also dann, guten Appetit! Sie haben gerade Frühstückspause? Dann will ich nicht stören; guten Appetit auch!"
"April, April!","Spottruf, wenn man jemanden in den April geschickt hat","Ich sehe gar keinen Fleck auf meiner Hose.– April, April!"
Arbeit und Brot,"eine Erwerbsmöglichkeit, mit der man seinen Lebensunterhalt verdienen kann","Alle gut gemeinte Entwicklungshilfe wird nicht ausreichen, um für diese zusätzlichen Millionen von Menschen Arbeit und Brot zu schaffen."
Arbeit schändet nicht,"es ist nicht unehrenhaft, seinen Lebensunterhalt durch Arbeit zu verdienen, selbst wenn es sich dabei um eine weniger angesehene Art der Betätigung handelt",Du hast keinen Job. Was hast du also gegen Straßenfeger? Arbeit schändet bekanntlich nicht.
die Arbeit nicht erfunden haben,"nicht gern arbeiten, faul sein","Der Neue drückt sich, wo er nur kann, der hat die Arbeit auch nicht erfunden."
nur halbe Arbeit machen,etwas nur unvollkommen ausführen,"Der Klempner hat nur halbe Arbeit gemacht, die Spülung geht schon wieder nicht."
etwas in Arbeit nehmen,mit der Anfertigung von etwas beginnen,Der Meister hatte die kostbarsten Stücke bereits in Arbeit genommen.
etwas in Arbeit haben,"an etwas gerade arbeiten, etwas gerade anfertigen",Die Firma hat den bestellten Öltank noch nicht in Arbeit.
