Idiom,Meaning,Meaning_translated_KR
apples and oranges,comparing or discussing things that are completely different and cannot be compared,완전히 다르며 비교할 수 없는 것들을 비교하거나 논의하는 것
apples and pears,slang for stairs,"계단의 속어는 ""스텝"" 또는 ""스텝스""입니다."
apples to oranges,comparing two things that are completely different and cannot be compared,전혀 다르고 비교할 수 없는 두 가지를 비교하다
are your ears burning?,"to have a strong feeling or intuition that someone is talking about you, often in a negative or gossiping way","누군가가 당신에 대해 이야기하고 있다는 강한 느낌이나 직감이 들다, 종종 부정적이거나 험담하는 방식으로."
argue the toss,to argue stubbornly or excessively about something trivial or insignificant,사소하거나 중요하지 않은 것에 대해 고집스럽게 또는 지나치게 주장하다
arm in arm,"walking closely together, often with linked arms",팔짱을 끼고 가며 가깝게 걷다.
armchair critic,someone who offers opinions or criticism from a position of little or no practical experience or involvement,실질적인 경험이나 참여가 거의 없는 위치에서 의견이나 비판을 제기하는 사람
armed to the teeth,"being heavily armed or well-equipped, often to an excessive or extreme degree","과도하게 무장하거나 잘 갖추어진, 종종 지나치거나 극단적인 정도로"
around the clock,continuously; without stopping; all the time,계속; 멈추지 않고; 항상
arrow in the quiver,an additional resource or option available for future use,미래에 사용할 수 있는 추가 자원이나 옵션
arse about face,to do something in a completely disorganized or backwards manner,완전히 무조직적으로 또는 거꾸로 하는 방식으로 뭔가를 하다
art is long and life is short,"the time we have in life is limited, but the impact of great works of art can last forever","우리가 인생에서 갖는 시간은 한정적이지만, 훌륭한 예술 작품의 영향력은 영원할 수 있다."
as a rule,in general; typically; usually,일반적으로; 보통; 대개
as and when,at the appropriate or necessary time or occasions,적절한 또는 필요한 시간이나 경우에
as bald as a coot,completely bald,완전히 대머리인
as bald as a cue ball,completely bald; having no hair at all,완전히 대머리인; 머리가 전혀 없는
as blind as a bat,to have extremely poor eyesight,시력이 매우 나쁘다
as busy as a bee,"to be very busy, working quickly and energetically",매우 바쁘고 빠르고 에너지 있게 일하다
as easy as pie,extremely easy or simple,매우 쉽거나 간단한
as gentle as a lamb,"to be very calm, kind, or gentle","매우 차분하고, 친절하며, 온화하다"
as good as new,restored to its original condition; in excellent or like-new condition,원래 상태로 복원된; 훌륭하거나 새것 같은 상태
as happy as a clam,to be very happy or content,매우 행복하거나 만족하다
as high as a kite,to be very intoxicated or under the influence of drugs,매우 취하거나 약물의 영향을 받다.
as keen as mustard,to be very enthusiastic or eager about something,무언가에 대해 매우 열정적이거나 열망하다
as luck would have it,by chance or fortunate circumstances,우연히 또는 운이 좋은 상황에서
as mad as a hatter,to be crazy or insane,미치다 또는 정신이 나가다
as nice as ninepence,to be very well-behaved or polite,매우 예의 바르거나 품행이 바르다
as one man,"""all together"" or ""unanimously""","""모두 함께"" 또는 ""일치하여"""
as patient as Job,"to be extremely patient or enduring, referencing the biblical figure Job who remained steadfast and patient despite facing numerous challenges and hardships","성경의 인물 욥을 언급하며, 수많은 도전과 고난에도 불구하고 끈기 있게 인내하거나 극도로 인내하다"
as poor as a church mouse,to have little or no money or possessions,돈이나 소유물이 거의 없거나 전혀 없는 상태
as right as rain,in perfect or excellent condition; feeling or doing well,완벽한 상태의; 기분이 좋거나 잘 하고 있는
as the actress said to the bishop,a phrase used to humorously or sarcastically point out a potentially suggestive or double entendre comment,모호한 의미나 이중적인 암시가 있는 발언을 유머러스하게 또는 빈정거리는 태도로 지적할 때 사용하는 표현
as the crow flies,the shortest or most direct route between two points,두 점 사이의 가장 짧고 직접적인 경로
as ugly as sin,extremely unattractive,극도로 매력 없거나 아주 추한
ask for the moon,to make an unrealistic or excessive request,비현실적이거나 과도한 요청을 하다
ask out,to invite someone on a date or to go out with them romantically,누군가를 데이트에 초대하거나 로맨틱하게 사귀자고 제안하다.
asleep at the wheel,not paying attention or being unaware of what is happening; being negligent or careless,무관심하거나 어떤 일이 일어나는지 알지 못하는 것; 태만하거나 부주의한 상태
at a canter,to do something with ease or without much effort or difficulty,어렵지 않게 하다; 손쉽게 하다
at a loose end,to have nothing to do or be unsure of what to do,아무 일을 할 게 없거나 무엇을 해야 할지 모르는 상태이다.
at a loss for words,"unable to speak or express oneself, typically due to shock, surprise, or confusion","충격, 놀람 또는 혼란으로 인해 말을 하거나 자신을 표현할 수 없는 상태"
at a pinch,if absolutely necessary or in a difficult situation,절대적으로 필요할 경우 또는 어려운 상황에서
at a snail's pace,to move or progress very slowly,아주 천천히 움직이거나 진행되다
at a stretch,continuously or for a long period of time without interruption or rest,중단이나 휴식 없이 지속적으로 또는 오랜 기간 동안
at cross purposes,"having different goals or intentions, often resulting in confusion or misunderstanding","다른 목표나 의도를 가지는 것, 종종 혼란이나 오해를 초래하는 경우"
at daggers drawn,to be in a state of intense hostility or conflict,격렬한 적대감이나 갈등 상태에 있다
at death's door,very sick or close to dying,매우 아프거나 죽음에 가까운
at death's door,"very close to dying or very sick, seriously ill","죽을 정도로 가까운 상태이거나 매우 아픈, 중병에 걸린"
at full tilt,at top speed or with maximum effort or energy,최고 속도로 또는 최대의 노력이나 에너지로
at hand,readily available; nearby; imminent or happening in the near future,쉽게 구할 수 있는; 가까운; 임박한 또는 가까운 미래에 일어나는
at loggerheads,to be in a state of strong conflict or disagreement,강한 갈등이나 disagreement에 있는 상태이다.
at odds,not in agreement or in conflict,일치하지 않거나 충돌하는
