Idiom,Meaning,Meaning_ar
َأدرك الموضوع,He got the point,فَهِمَ النُقطة
أدرك شيئا ً تمام االدراك,To be fully aware of something,أن تكون على دراية تامة بشيء ما
ُأدركه العفاء,"To fall into disuse, pass out of use",يَخرُج عن الاستخدام، يُهمَل
ادّعاء باطل,A false allegation,ادِّعاء كاذب
ادّعاءات كاذبة,False allegations,ادعاءات كاذبة
أدلى بتصريح,To make a statement,الإدلاء بتصريح
أدلى بحجّة,To put forward an argument,لِطَرح حُجَّة
أدلى بدلوه في,To make one’s contribution,لِيُساهِم
أدّى السالم,"To greet, salute",لِيُحَيِّي، يُسَلِّم
أدّى الشهادة,"To testify, give evidence",للإدلاء بالشهادة، تقديم الأدلة
ًأدّى امتحانا,To take an examination,لِتَقديم اِمتِحان
ًأدّى خدمة,To render a service,تَقديم خِدمة
ًأدّى رسالة,To fulfil a mission,لإتمام مهمة
ًأدّى فريضة الصالة حاضرة,To perform the prescribed prayer promptly and on time,أداء الصلاة المفروضة في وقتها وبشكل دقيق
أدّى مأمورية,To accomplish a task,لإتمام مهمة
أدّى واجبَه,To do one’s duty,أداء الواجب
ًأدّى وظيفة,"To fulfil a function, to fill a post",لأداء وظيفة، لشغل منصب
ًأدّى يمينا,To take an oath,يُؤدِّي القَسَم
أديم األرض,The surface of the earth,سطح الأرض
أديم الغبراء,"Lithosphere, earth’s crust",الغلاف الصخري، قشرة الأرض
. . . إذا صح ما قالته الجرائد من أن,"If what the newspapers say is true, namely that...",إذا كان ما تقوله الصحف صحيحًا، أي أن...
. . . إذا لم يكن بدٌّ من أن,If it is inevitable that...,إذا كان من المحتوم أن...
أذاع األخبار,To broadcast news,لِبَثّ الأخبار
ًأذاع برنامجا,To broadcast a programme,لِبَثّ بَرنامج
إذاعة تلفزيونيّة,TV broadcast,بَث تِلفِزيوني
أذاقه األمرين,To cause him trouble,لإحداث مشكلة له
أذعن لحكم,To accept a verdict,لقَبول الحُكم
أذعن لقرار,To respect a decision,احترام قرار
أذعن لمطالبه,To give into his demands,الرضوخ لمطالبه
أذكى نار الثورة,To fan the flames of revolution,لِيُذَكِّي نيران الثورة
آذن الليل بانتصاف,It was close to midnight,كانت الساعة تقترب من منتصف الليل
( آذن بالسقوط )بالزوال,To show signs of the imminent downfall (end),لإظهار علامات السقوط الوشيك (النهاية)
أذ ّ ن بالصالة,To call to prayer,الأذان
آذنت الشمس بالمغيب,The sun was about to set,كانت الشمس على وشك الغروب
األراضي الواطئة,The Netherlands,هولندا
أراق ماء وجهه,"To sacrifice one’s honour, abase oneself, disgrace someone",التضحية بالشرف، إذلال النفس، إهانة شخص ما
أرباب الكارات,"Artisans, craftsmen",حِرَفيون، صُنّاع
أرباح طائلة,Vast profits,أرباح طائلة
ارتباط شخصي,Personal connection,اتصال شخصي
ارتباط وثيق,A strong commitment,التزام قوي
ارتدّ على عقبيه,"To withdraw, retreat",للانسحاب، التراجع
ارتدّ عن دينه,To abandon his religion,التَخَلِّي عن دِينِه
ارتدوا على أعقابهم,"To withdrew, turn back",لِيَنسَحِب، يَتَراجَع
ارتدى مالبس,To get dressed,يَرتَدي الملابِس
(ارتعدت فرائصه )فريصته,"To be terrified, violent fear or excitement seized him",لِيُصابَ بِالرُعب، اِستَحوَذَ عليه الخَوف العَنيف أو الحَماس
ارتعش من الحمى,To shake with fever,يَرْتَعِش بالحُمّى
ارتعش من الخوف,To tremble with fear,يَرْتَعِد خَوْفًا
ارتفاع مستوى سطح البحر,A rise in sea level,ارتفاع مستوى سطح البحر
ارتقى على العرش,To ascend the throne,يَرتَقي العَرش
ًارتقى منبرا,To mount the pulpit,يَصعَد المِنبَر
ًارتكب خطأ,To make a mistake,ارتكاب خطأ
ًارتكب ذنبا,To commit an offence,ارتكاب جريمة
ارتكب مذبحة,To commit a massacre,ارتكاب مذبحة
ارتكز على عصاه,To lean on one’s cane,يَتَّكِئ على عَصاه
ارتمى على شخص,To throw oneself at somebody’s feet,يُلقي بنفسه عند أقدام شخص ما
األرجح أن,"It is most likely, probably",من المحتمل جداً، على الأرجح
إرسال الرسائل,Sending letters,إرسال الرسائل
إرسال بالبريد,Sending through the mail,الإرسال عبر البريد
أرسل إشارات,To send out signals,لإرسال إشارات
أرسل رسالة,To dispatch a letter,لإرسال رسالة
أرسل صيحات,To utter cries,يُطلِق صَرَخات
أرسل كتابا ً تِلو كتاب,To send letter after letter,لإرسال رسالة تلو الأخرى
أرصدة مجمّدة,Frozen assets,الأصول المجمدة
أرض شديدة,Solid or firm ground,أرض صلبة أو ثابتة
أرض قفر,Wasteland,أرض قَفْر
أرضعني أفاويق بِرِّه,He showered me with kindness,أغدق عليّ باللطف
ًأرفق ملفا,To attach a file,لإرفاق ملف
ًأرقى كعبا,"Abler, more capable, more qualified",أكثر قدرة، أكثر كفاءة، أكثر تأهيلاً
ّإرهاق عصبي,Stress,تَوَتُّر
أرهق أعصابه,To strain one’s nerves,لإجهاد الأعصاب
ًأرهق شخصا,To exhaust somebody,إرهاق شخص ما
أ ُ رهق من شيء,To be worn out by something,أن يَكون مُنهَكًا بسبب شيء ما
أزاغ عني بصره,"He looked past me, he snubbed me",تجاهلني ونظر إلى ما بعدي
ًأزال شيئا,To get rid of something,للتَخَلُّص من شيء ما
أزال عراقيل,To remove obstacles,إزالة العوائق
إزالة الشكوك,Dispelling doubts,إزالة الشكوك
ازدجر عن المنكر,To abstain from vice,الامتناع عن الرذيلة
ازدحام خانق,Heavy traffic,ازدحام مروري شديد
ازدهار اقتصادي,Economic boom,ازدهار اقتصادي
ازدواج الشخصية,Split personality,انفصام الشخصية
ّازدواج لغوي,Diglossia,الاِزدِواجِيّة اللُّغَوِيّة
ّازدياد تدريجي,Gradual increase,زيادة تدريجية
ازدياد مط ّ رد,Steady increase,زيادة مُطَّرِدة
أزعج صديقه,To disturb his friend,لإزعاج صديقه
أزمع على السفر,He decided to travel,قَرَّرَ أن يُسافِر
األزمنة الغابرة,"Old times, ancient times",الأزمنة القديمة، العصور القديمة
أساء استعماله,"To abuse, misuse, misemploy something",إساءة استخدام شيء، أو استغلاله بشكل خاطئ، أو توظيفه بشكل غير صحيح
أساء الظن بِـ,To misjudge,يُسِيء التَقدير
أسارير الوجه,"Features, facial expression",ملامح، تَعبير وَجه
ًأساسا,Primarily,بِالأساس
أسال أودية ً من الحبر,To pour forth floods of ink,لِيَسْكُب سُيولًا من الحِبْر
أسأله سؤل َ ه,"To fulfil someone’s wish, comply with someone’s request",لِتَحقيق أُمنية شَخص، أو الاستجابة لِطَلب شَخص
أسباب الراحة,Luxury,فَخامة
أسبغ الوضوء,To perform the ritual ablution properly,لأداء الوضوء بشكل صحيح
( ً أسبوعي )أسبوعيا,Weekly,أسبوعياً
استاذ كرسي,Full professor,أستاذ كامل
استأصل شأفتَه,"To eradicate something, eliminate something radically",لاستئصال شيء ما، القضاء على شيء جذرياً
استباح حرمتَه,To hurt someone’s honour,الإساءة إلى شرف شخص ما
استباح دمَه,"To proscribe, outlaw someone",لحظر شخص أو تجريمه
. . . استبان له أن,It became clear to him that...,أصبح واضحًا له أن...
ًاستبشر به خيرا,To regard something as auspicious,اعتبار شيء ما فألًا حسنًا
َا ُ سْت ُ بْعِد,"To be eliminated, drop out (in a competition)",يتم إقصاؤه، ينسحب (في مسابقة)
استتب له األمر,Everything went well with him,سار كل شيء على ما يرام معه
. . . استتلى يقول,"He went on saying, he continued with the words...",وَاصَلَ القَول، استمر في الكلام...
ُاستثار غضبَه,To make someone angry,إغضاب شخص ما
استثقل ظِل َّ ه,"To find someone unbearable, dislike someone",أن تجد شخصًا لا يُطاق، أن تكره شخصًا
استجابة ً لِـ,"In deference to, in answer to",احترامًا لـ، ردًا على
استجمّ عافيتَه,To recuperate,لِلتَعافي
استجمع أفكارَه,To gather one’s thoughts,لِيَجمَع أفكاره
استجمع ق ُ وَاه,To gather one’s strength,لِيَجمَع قُواه
َا ُ ست ُ حْسِن,"To be good, commendable",أن يكون جيدًا، مَحمودًا
استحسن اإلنجليزية,To know English well,لإتقان اللغة الإنجليزية جيدًا
استحيى من,"To be ashamed of something, to feel embarrassed by",أن يَشعُر بالخَجل من شيء، أن يَشعُر بالإحراج بسببه
استخار هللاَ في,To ask God for proper guidance in,أن يَطلُب من الله الهداية الصحيحة في
ُاستخفت به الحماسة,He got carried away by enthusiasm,انجرف بالحماس
ُاستخف ّ ه الط َّ رَب,He was beside himself with joy,كان في غاية الفرح
