Idiom,Meaning,Meaning_trans
أدراج الريّاح,Be in vain,كن عبثاً
أدرج شخصا في القائمة السوداء,To blacklist somebody,لإدراج شخص ما في القائمة السوداء
أدرج نقطة في جدول األعمال,To include an item in the agenda,لإدراج بند في جدول الأعمال
َأدرك الموضوع,He got the point,حصل على النقطة
أدرك شيئا ً تمام االدراك,To be fully aware of something,أن تكون على دراية تامة بشيء ما
ُأدركه العفاء,"To fall into disuse, pass out of use",السقوط في الإهمال، والتوقف عن الاستخدام
ادّعاء باطل,A false allegation,ادعاء كاذب
ادّعاءات كاذبة,False allegations,ادعاءات كاذبة
أدلى بتصريح,To make a statement,للإدلاء ببيان
أدلى بحجّة,To put forward an argument,لطرح حجة
أدلى بدلوه في,To make one’s contribution,تقديم مساهمة الفرد
أدّى السالم,"To greet, salute",التحية والتحية
أدّى الشهادة,"To testify, give evidence",للإدلاء بالشهادة، والإدلاء بالشهادة
ًأدّى امتحانا,To take an examination,الخضوع للامتحان
ًأدّى خدمة,To render a service,لتقديم خدمة
ًأدّى رسالة,To fulfil a mission,لإنجاز مهمة
ًأدّى فريضة الصالة حاضرة,To perform the prescribed prayer promptly and on time,أداء الصلاة المفروضة على الفور وفي الوقت المحدد لها.
أدّى مأمورية,To accomplish a task,لإنجاز مهمة
أدّى واجبَه,To do one’s duty,القيام بالواجب
ًأدّى وظيفة,"To fulfil a function, to fill a post",للوفاء بوظيفة، لملء وظيفة
ًأدّى يمينا,To take an oath,أداء القسم
أديم األرض,The surface of the earth,سطح الأرض
أديم الغبراء,"Lithosphere, earth’s crust",الغلاف الصخري، القشرة الأرضية
. . . إذا صح ما قالته الجرائد من أن,"If what the newspapers say is true, namely that...",إذا كان ما تقوله الصحف صحيحًا، أي أن...
. . . إذا لم يكن بدٌّ من أن,If it is inevitable that...,إذا كان من المحتم أن...
أذاع األخبار,To broadcast news,لبث الأخبار
ًأذاع برنامجا,To broadcast a programme,لبث برنامج
إذاعة تلفزيونيّة,TV broadcast,البث التلفزيوني
أذاقه األمرين,To cause him trouble,التسبب له في المتاعب
أذعن لحكم,To accept a verdict,لقبول الحكم
أذعن لقرار,To respect a decision,احترام القرار
أذعن لمطالبه,To give into his demands,الاستسلام لمطالبه
أذكى نار الثورة,To fan the flames of revolution,تأجيج نيران الثورة
آذن الليل بانتصاف,It was close to midnight,كان الوقت يقترب من منتصف الليل
( آذن بالسقوط )بالزوال,To show signs of the imminent downfall (end),لإظهار علامات السقوط الوشيك (النهاية)
أذ ّ ن بالصالة,To call to prayer,الدعوة إلى الصلاة
آذنت الشمس بالمغيب,The sun was about to set,كانت الشمس على وشك الغروب
األراضي الواطئة,The Netherlands,هولندا
أراق ماء وجهه,"To sacrifice one’s honour, abase oneself, disgrace someone",أن يضحي المرء بشرفه ويهين نفسه ويهين شخصًا ما
أرباب الكارات,"Artisans, craftsmen",الحرفيون والحرفيون
أرباح طائلة,Vast profits,أرباح طائلة
ارتباط شخصي,Personal connection,التواصل الشخصي
ارتباط وثيق,A strong commitment,التزام قوي
ارتدّ على عقبيه,"To withdraw, retreat",للانسحاب والتراجع
ارتدّ عن دينه,To abandon his religion,أن يتخلى عن دينه
ارتدوا على أعقابهم,"To withdrew, turn back",للانسحاب، ارجع للخلف
ارتدى مالبس,To get dressed,لارتداء الملابس
(ارتعدت فرائصه )فريصته,"To be terrified, violent fear or excitement seized him",أن يكون مرعوبًا، استولى عليه الخوف العنيف أو الانفعال
ارتعش من الحمى,To shake with fever,أن ترتجف من الحمى
ارتعش من الخوف,To tremble with fear,أن ترتجف من الخوف
ارتفاع مستوى سطح البحر,A rise in sea level,ارتفاع مستوى سطح البحر
ارتقى على العرش,To ascend the throne,لاعتلاء العرش
ًارتقى منبرا,To mount the pulpit,لتركيب المنبر
ًارتكب خطأ,To make a mistake,لارتكاب خطأ
ًارتكب ذنبا,To commit an offence,ارتكاب جريمة
ارتكب مذبحة,To commit a massacre,ارتكاب مذبحة
ارتكز على عصاه,To lean on one’s cane,أن يتكئ المرء على عصاه
ارتمى على شخص,To throw oneself at somebody’s feet,أن يرمي المرء نفسه عند قدمي شخص ما
األرجح أن,"It is most likely, probably",على الأرجح، على الأرجح
إرسال الرسائل,Sending letters,إرسال الرسائل
إرسال بالبريد,Sending through the mail,الإرسال عبر البريد
أرسل إشارات,To send out signals,لإرسال إشارات
أرسل رسالة,To dispatch a letter,لإرسال رسالة
أرسل صيحات,To utter cries,إطلاق الصرخات
أرسل كتابا ً تِلو كتاب,To send letter after letter,إرسال رسالة تلو الأخرى
أرصدة مجمّدة,Frozen assets,الأصول المجمدة
أرض شديدة,Solid or firm ground,أرض صلبة أو صلبة
أرض قفر,Wasteland,الأرض القاحلة
أرضعني أفاويق بِرِّه,He showered me with kindness,غمرني بالعطف
ًأرفق ملفا,To attach a file,لإرفاق ملف
ًأرقى كعبا,"Abler, more capable, more qualified",أكثر قدرة وكفاءة وتأهيلاً
ّإرهاق عصبي,Stress,الإجهاد
أرهق أعصابه,To strain one’s nerves,إجهاد الأعصاب
ًأرهق شخصا,To exhaust somebody,لاستنفاد شخص ما
أ ُ رهق من شيء,To be worn out by something,أن تتعب من شيء ما
أزاغ عني بصره,"He looked past me, he snubbed me",نظر إليّ وتجاهلني وتجاهلني
ًأزال شيئا,To get rid of something,للتخلص من شيء ما
أزال عراقيل,To remove obstacles,لإزالة العقبات
إزالة الشكوك,Dispelling doubts,تبديد الشكوك
ازدجر عن المنكر,To abstain from vice,الامتناع عن الرذيلة
ازدحام خانق,Heavy traffic,حركة المرور الكثيفة
ازدهار اقتصادي,Economic boom,الازدهار الاقتصادي
ازدواج الشخصية,Split personality,انفصام الشخصية
ّازدواج لغوي,Diglossia,الازدواجية اللغوية
ّازدياد تدريجي,Gradual increase,الزيادة التدريجية
ازدياد مط ّ رد,Steady increase,زيادة مطردة
أزعج صديقه,To disturb his friend,لإزعاج صديقه
أزمع على السفر,He decided to travel,قرر السفر
األزمنة الغابرة,"Old times, ancient times",العصور القديمة، العصور القديمة
أساء استعماله,"To abuse, misuse, misemploy something",إساءة استخدام، إساءة استخدام، إساءة استخدام شيء ما
أساء الظن بِـ,To misjudge,لإساءة التقدير
أسارير الوجه,"Features, facial expression",الملامح وتعبيرات الوجه
ًأساسا,Primarily,في المقام الأول
أسال أودية ً من الحبر,To pour forth floods of ink,لصب فيضانات من الحبر
أسأله سؤل َ ه,"To fulfil someone’s wish, comply with someone’s request",تلبية رغبة شخص ما، والامتثال لطلب شخص ما
أسباب الراحة,Luxury,الرفاهية
أسبغ الوضوء,To perform the ritual ablution properly,لأداء فريضة الوضوء بشكل صحيح
( ً أسبوعي )أسبوعيا,Weekly,أسبوعياً
استاذ كرسي,Full professor,أستاذ متفرغ
استأصل شأفتَه,"To eradicate something, eliminate something radically",للقضاء على شيء ما، القضاء على شيء ما بشكل جذري
استباح حرمتَه,To hurt someone’s honour,أن تجرح شرف شخص ما
استباح دمَه,"To proscribe, outlaw someone",لحظر أو تجريم شخص ما
. . . استبان له أن,It became clear to him that...,أصبح من الواضح له أن...
ًاستبشر به خيرا,To regard something as auspicious,أن تعتبر شيئًا ما ميمونًا
َا ُ سْت ُ بْعِد,"To be eliminated, drop out (in a competition)",الاستبعاد والانسحاب (في المسابقة)
استتب له األمر,Everything went well with him,سار كل شيء على ما يرام معه
. . . استتلى يقول,"He went on saying, he continued with the words...","ومضى يقول، وتابع قائلاً: ""لقد تابع قائلاً"
ُاستثار غضبَه,To make someone angry,لإغضاب شخص ما
