Idiom,Meaning
أشغال عامة,Public works
أشغل البال,"To disquiet, disturb, preoccupy"
أشفق من,"To shun, shirk, be on one’s guard against"
أشفى به على حافة اليأس,He brought him to the brink of despair
ٍأشهر مزادَ بيعِ شيء,"To auction something off, put something up at auction"
ٍ أشهر من نار على ع َ لَم,Very famous
أشهق بالبكاء,"To burst into tears, break out into loud weeping"
أصاب إصابات,"To score, make goals"
أصاب في عمله,"To do right, act properly"
إصابة العمل,Industrial accident
أصابه مس من الجنون,He has gone crazy
ًأصالةً ونيابة,Directly and indirectly
أصبح أثرا ً بعد عين,"To be destroyed, be wiped out, leave nothing but memory behind"
أصبح الحق,Truth has come to light
ُأصبح الصباح,It became morning
أصبح ط ُ عمة النيران,To be destroyed by fire
أصبح على خير,"To have a good morning, begin the day happily"
أ َ صْبَحَ فِي,"To get into a situation, come to a point where..., to become, grow, turn, to be"
أصبح في حكم المقرر,It is all but decided
أصبح في خبر كان,"To disappear, become dated, belong to the past, become obsolete"
ًأصبح نافذا,"To become operative, come into force (law)"
ًأصبح نسياً منسيا,"To be completely forgotten, fall into utter oblivion"
أصبع القدم,Toe
أصحاب االهواء,"Sectarians, dissenters"
أصحاب الشأن,"Those concerned, the important, influential people"
أصحاب الشبهات,"Dubious persons, people of ill repute"
أصحاب الكهف,The Seven Sleepers
( ً أصدر )أمرا ً ، فتوى، حكما,"To issue (a command, edict, judgement),"
أصدق برهان على,"The most reliable, or best, proof for"
أصدق صديق,"The most loyal, or best, friend"
أصدقها,To fix a bridal dower (for a woman)
اصطاد في الماء العكر,To fish in troubled waters
أصغر أبويه,The youngest of his parents’ children
أصغى إلى,"To listen, pay attention, lend one’s ear to something or someone"
أصفاه بالشيء,"To have someone in mind for something, choose, select, or single out someone for something"
اصفرّ وجهه,"He grew pale, he turned white"
األصل األصيل,The actual reason
أصاله النار,To make someone burn in the fire
ًأصاله نارا,"To set something on fire, to fire at someone or something"
أصاله نارا ً من الغيرة,To make someone undergo the most excruciating pangs of jealousy
أصلح بين,"To make peace, bring together people"
أصلح من,"To mend, improve, ameliorate"
أصلح نية,To evoke the right intention in one’s heart (ethical and religious)
أصلحت من شأنها,She made herself up
ًأصيب إصابة شديدة,"To be hard hit, be grievously afflicted"
أصيب بِـ,"To be stricken, attacked, afflicted, to be killed"
أصيب بجراح,To incur multiple wounds
أصيب بخسارة,To suffer a loss
أصيل الرأي,Of sound unerring judgement
َأضاع الوقت,To waste time
أضاع صوابَه,To lose one’s mind
ًأضاع عليه فرصة,To make someone miss an opportunity
إضاعة الوقت,Waste of time
أضاف شيئا ً من عنده,He added something of his own
أضراب,"Similar, like"
( أضرب )عن العمل,"To stop work, to strike"
أضرب جأشا ً لِـ,"To be prepared for something, make up one’s mind to take something upon oneself"
أضرب صفحا ً عن,"To desist, abstain from"
أضرب عن الطعام,To go on hunger strike
اضطرب حبل ُ ه,"To get into a state of disorder, get out of control"
ِأضعاف أضعافِه,Many times as much
ًأضعافاً مضاعفة,"Many times, a hundredfold"
أضغاث األحالم,Confused dreams
أضِف إلى ذلك أن,"What’s more, moreover, furthermore"
أضمر له الشر,"To bear someone a grudge, harbour ill will against someone"
أضمره في نفسه,"To secrete, conceal, hide, keep secret in one’s heart"
أطال النظر إليه,He kept staring at him
أطال الوقوف,He stayed a long time
أطال عليه,To keep someone waiting a long time
أطال لسانه,"To speak in a forward manner, be pert, saucy, insolent in speech"
أطبق على يدي,He pressed my hand
أطراف األصابع,Fingertips
أطراف البدن,"The extremities of the body, the limbs"
األطراف المتعاقدة,The contracting parties
أطراف المدينة,The outskirts of the city
اط ّ رح على األرض,"To throw oneself down, prostrate oneself"
(أطرق رأسه )برأسه,To bow one’s head
أطعمه من جوع,To appease someone’s hunger
أطفأ جذوة يومه وأحرق فحمة ليله في العمل,To work day and night
ِأطل ّ بخط ْ مِه,"To manifest its force, set in"
إطالق الرصاص على,"The firing at something, the shooting of someone"
إطالق السراح,Release of someone
(إطالق النار )النيران,"Opening of fire, shelling, gunning, cannonade"
إطالق سراحه,His release
ً إطالقا,Absolutely
أطلق اإلرادة لِـ,To give a free hand to someone
أطلق الحبلَ على الغارب,"To give free rein, impose no restraints, let things take their course"
أطلق الدواءُ بطنَه,The medicine loosened his bowels
أطلق الرصاص على,"To fire, shoot at"
أطلق ألسنتهم بِـ,To incite someone
أطلق العنان له,"To give free rein to someone or something, give vent to something"
أطلق النار على,"To open fire on, fire or shoot at"
أطلق النار في,"To set fire to, set something on fire"
أطلق النفس على سجيتها,He gave rein to his instincts
أطلق حربا ً من عقالها,To unleash or start a war
أطلق رجليه إلى الريح,"To run away head over heels, to beat it"
أطلق زوجتَه,"To repudiate, divorce one’s wife"
أطلق ساقيه للريح,"To run away head over heels, dash off like the wind, to bolt"
أطلق سبيله,"To release someone, set someone free, let someone go"
أطلق سبيله لعبرته,To let one’s tears flow freely
أطلق سراحه,"To set someone at liberty, free someone, release someone (from jail)"
أطلق على,To apply something to
. . . أطلق عليه اسم,"To name or call something, designate something as..."
أطلق لحيته,To let one’s beard grow
ًأطلق لسانه فيه إطالقاً شنيعا,"To indulge in defamatory remarks about someone, backbite someone"
أطلق له العنان,"To give free rein to someone or something, give vent to something"
أطلق يده بِـ,"To be open-handed with, bestow something lavishly"
أطلق يده في,"To give someone a free hand (in, to do something), give someone unlimited authority for"
أطلقوا أيديَهُم في البالد,They did as they pleased with the country
أطمع من أشعب,Greedier than Ashʿab
أعاد أثرا ً بعد عين,To ruin something completely
ًأعادَ األمرَ جَذْعا,"He reopened the whole affair, he reverted to the earlier status"
أعاد النظرَ في,"To re-examine, reinvestigate, verify, revise something, go over something again"
أعاد بناء مسجد,To rebuild a mosque
أعاد ذكريات,To revive or reawaken memories
أعاد طبع الكتاب,To reprint a book
إعادة البناء,Reconstruction
إعادة التكوين,Re-formation
إعادة التنظيم,Reorganisation
إعادة الحقوق,Rehabilitation
إعادة الشؤون على ما كانت عليه,Restoration of the status quo
إعادة النظر,"Re-examination, reconsideration, revision of something"
إعادة النظر في دعوى,Retrial of a case
أعاده أثرا ً بعد عين,"To destroy or wipe something out, leaving only a trace or memory"
أعاده إلى محله,"To put back, lay back something"
أعاظم رجال القبيلة,The most outstanding of the tribe
ًاعتبارا أو حقيقة,From a subjective point of view or in reality
اعتبارا ً لِـ,"With respect to, with regard to, in consideration of, considering..."
اعتبارا ً من,"From, as of, beginning..., starting with..., effective from... (with following indication of time)"
االعتداد بنفسه,"Self-confidence, self-reliance"
اعتراف بالجميل,Gratitude
اعترض سبيله,To block someone’s way
اعترف بالجميل,To be grateful
َاعتزل الخدمة,"To retire from service, from work, go into retirement"
َاعتزل العمل,"To retire from work, go into retirement"
اعتصر جبينَه,To knit one’s brow (pensively)
اعتصم بالصمت,To maintain silence
اعتصم برباطة الجأش,To maintain equanimity
االعتماد على النفس,"Self-confidence, self-reliance"
اعتنق دينا آخر,To adopt a new religion
