Idiom,Meaning
가을 중 싸대듯[쏘대듯/싸다니듯],"수확이 많은 가을철에 조금이라도 더 시주를 얻기 위하여 중이 바쁘게 돌아다닌다는 뜻으로, 여기저기 분주히 돌아다님을 비유적으로 이르는 말. "
가을 중의 시주 바가지 같다,"가을에는 곡식이 풍성하여 시주도 많이 하게 되므로 시주 바가지가 가득하다는 데서, 무엇이 가득 담긴 것을 비유적으로 이르는 말. "
가을철에는 죽은 송장도 꿈지럭한다,가을걷이 때에는 일이 많아서 누구나 바삐 나서서 거들게 됨을 비유적으로 이르는 말. 
가을 판에는 대부인마님이 나막신짝 들고 나선다,가을걷이 때에는 일이 많아서 누구나 바삐 나서서 거들게 됨을 비유적으로 이르는 말. 
"가자니 태산이요, 돌아서자니 숭산이라","앞에도 높은 산이고 뒤에도 높은 산이라는 뜻으로, 이러지도 저러지도 못할 난처한 지경에 이름을 비유적으로 이르는 말. "
가재치다,"가재가 뒷걸음질을 잘 친다는 뜻으로, 샀던 물건을 도로 무르는 것을 비유적으로 이르는 말. "
가재는 게 편,"모양이나 형편이 서로 비슷하고 인연이 있는 것끼리 서로 잘 어울리고, 사정을 보아주며 감싸 주기 쉬움을 비유적으로 이르는 말. "
가재는 게 편이요 초록은 한 빛이라,"모양이나 형편이 서로 비슷하고 인연이 있는 것끼리 서로 잘 어울리고, 사정을 보아주며 감싸 주기 쉬움을 비유적으로 이르는 말. "
가재 물 짐작하듯,무슨 일에나 미리 예측을 잘함을 비유적으로 이르는 말. 
가정오랑캐 맞듯,"행패를 부리다 매를 맞는 가정오랑캐처럼 맞는다는 뜻으로, 매를 몹시 맞음을 비유적으로 이르는 말. "
가죽만 남다,보기 흉하게 여위다. 
가죽이 모자라서 눈을 냈는가,"보기 위해서 눈을 냈지 살가죽이 모자라서 눈을 내놓은 것이 아니라는 뜻으로, 남들은 다 잘 보는 것을 보지 못하는 사람을 핀잔하는 말. "
가죽이 있어야 털이 나지,무엇이나 그 바탕이 있어야 생길 수 있음을 비유적으로 이르는 말. 
가지치다,하나의 근본에서 딴 갈래가 생기다. 
가지고 놀다,(속되게) 사람을 놀리거나 멸시하다. 
가지 나무에 목을 맨다,"워낙 딱하고 서러워서 목맬 나무의 크고 작음을 가리지 않고 죽으려 한다는 뜻으로, 이것저것 가릴 처지가 아님을 비유적으로 이르는 말. "
가지 따 먹고 외수한다,"남의 밭에 가 가지를 따 먹고 남을 속인다는 뜻으로, 사람의 눈을 피하여 나쁜 짓을 하고는 시치미를 떼면서 딴전을 부림을 비유적으로 이르는 말. "
가지 많은 나무가 잠잠할 적 없다,"가지가 많고 잎이 무성한 나무는 살랑거리는 바람에도 잎이 흔들려서 잠시도 조용한 날이 없다는 뜻으로, 자식을 많이 둔 어버이에게는 근심, 걱정이 끊일 날이 없음을 비유적으로 이르는 말. "
가지 많은 나무에[나무가] 바람 잘 날이 없다,"가지가 많고 잎이 무성한 나무는 살랑거리는 바람에도 잎이 흔들려서 잠시도 조용한 날이 없다는 뜻으로, 자식을 많이 둔 어버이에게는 근심, 걱정이 끊일 날이 없음을 비유적으로 이르는 말. "
가진 놈의 겹철릭,한 사람이 필요 이상으로 물건을 겹쳐서 가지고 있음을 비유적으로 이르는 말. 
가진 돈이 없으면 망건 꼴이 나쁘다,"몸에 지닌 돈이 없으면 비록 망건을 썼어도 그 꼴이 하찮게 보인다는 뜻으로, 돈이 없으면 그만큼 겉모양도 허술해 보이고 마음도 떳떳하지 못함을 비유적으로 이르는 말. "
가짜가 병이라,무엇이나 가짜라는 것은 차라리 없느니만 못함을 비유적으로 이르는 말. 
각뜨다,"잡은 짐승을 머리, 다리 따위로 나누다. "
각설이 떼에게서는 장타령밖에 나올 것이 없다,"장타령을 부르며 동냥하여 얻어먹고 다니는 각설이 떼에게서 나올 것이란 장타령밖에 없다는 뜻으로, 본바탕이 하찮은 것에서는 크게 기대할 만한 결과가 나올 수 없음을 이르는 말. "
각설이의 장타령,"장타령을 부르며 동냥하여 얻어먹고 다니는 각설이 떼에게서 나올 것이란 장타령밖에 없다는 뜻으로, 본바탕이 하찮은 것에서는 크게 기대할 만한 결과가 나올 수 없음을 이르는 말. "
각전 시정 통비단 감듯,"장사치가 솜씨 있게 통비단을 감듯 한다는 뜻으로, 무엇을 줄줄 익숙하게 잘 감음을 비유적으로 이르는 말. "
각전의 난전 몰듯,"육주비전 각전에서 그곳의 물건을 몰래 훔쳐다가 파는 난전을 무섭게 몰아치듯 한다는 뜻으로, 정신을 차리지 못할 만큼 매우 급히 몰아침을 비유적으로 이르는 말. "
간바람 들다,하는 행동이 실없다. 
간불붙다,「1」당한 일이 몹시 다급하여 간장이 타는 것 같다. 「2」몹시 울화가 나다. 
간빼 먹다,(비유적으로) 겉으로는 비위를 맞추며 좋게 대하는 척하면서 요긴한 것을 다 빼앗다. 
간졸이다,매우 걱정되고 불안스러워 마음을 놓지 못하다. 
간뒤집히다,까닭 없이 웃음을 나무라는 말. 
간떨어지다,몹시 놀라다. 
간마르다,몹시 초조하거나 안타까워서 속이 상하다. 
간붓다,지나치게 대담해지다. 
간작다,대담하지 못하고 몹시 겁이 많다. 
간크다,겁이 없고 매우 대담하다. 
간타다,너무 근심스럽고 안타까워 속이 타는 듯하다. 
간다 간다 하면서 아이 셋 낳고 간다,「1」그만두겠다고 늘 말은 하면서도 정작 그만두지 못하고 질질 끄는 경우를 비유적으로 이르는 말. 「2」어떤 일을 하겠다고 늘 말을 하면서도 실행하지 못함을 비유적으로 이르는 말. 
간담을 헤치다[열어 놓다/털어놓다],속마음을 숨김없이 다 말하다. 
간담이 내려앉다,몹시 놀라다. 
간담이 떨어지다,몹시 놀라다. 
간담이 서늘하다,몹시 놀라서 섬뜩하다. 
간담이 한 움큼 되다,"간과 쓸개가 한 움큼 되게 작아졌다는 뜻으로, 몹시 놀라고 두려워하는 모양을 이르는 말. "
간덩이붓다,‘간(이) 붓다’를 속되게 이르는 말. 
간덩이작다,‘간(이) 작다’를 속되게 이르는 말. 
간덩이크다,‘간(이) 크다’를 속되게 이르는 말. 
간덩이를 키우다,(속되게) 담력과 도량을 늘리다. 
간도 모르다,일의 내막을 짐작도 하지 못하다. 
간도 쓸개도 없다,용기나 줏대 없이 남에게 굽히다. 
간땡이붓다,‘간(이) 붓다’를 속되게 이르는 말. 
간땡이크다,‘간(이) 크다’를 속되게 이르는 말. 
간땡이를 키우다,(속되게) 담력과 도량을 늘리다. 
간발의 차이,서로 엇비슷할 정도의 아주 작은 차이. 
간 빼 먹고 등치다,겉으로는 비위를 맞추며 잘해 주는 척하면서 정작 요긴한 것을 옳지 못한 방법으로 빼앗음을 비유적으로 이르는 말. 
간언들다,잘 어울리는 일에 이간하는 말이 끼어들다. 
간에 가 붙고 쓸개[염통]에 가 붙는다,자기에게 조금이라도 이익이 되면 지조 없이 이편에 붙었다 저편에 붙었다 함을 비유적으로 이르는 말. 
간에 기별도 안 가다,먹은 것이 너무 적어 먹으나 마나 하다. 
간에 붙었다 쓸개[염통]에 붙었다 한다,자기에게 조금이라도 이익이 되면 지조 없이 이편에 붙었다 저편에 붙었다 함을 비유적으로 이르는 말. 
간에 차지 않다,「1」먹은 것이 너무 적어 먹으나 마나 하다. 「2」마음에 흡족히 여겨지지 않다. 
간을 꺼내어 주다,비위를 맞추기 위해 중요한 것을 아낌없이 주다. 
간을 녹이다,"「1」감언이설, 아양 따위로 상대편의 환심을 사다. 「2」몹시 애타게 하다. "
간이 녹다,「1」무엇이 마음에 들어 정도 이상으로 흐뭇함을 느끼다. 「2」몹시 애가 타다. 
간이 덜렁[덜컹/철렁]하다,몹시 놀라 충격을 받다. 
간이 뒤집혔나 허파에 바람이 들었나,마음의 평정을 잃고 까닭 없이 웃음을 핀잔하는 말. 
간이 떨리다,마음속으로 몹시 겁이 나다. 
간이라도 빼어[뽑아] 먹이겠다,아주 친한 사이이므로 아무리 소중한 것이라도 아낌없이 내어 줄 수 있음을 비유적으로 이르는 말. 
간이라도 빼어[뽑아] 줄[먹일] 듯,무엇이라도 아낌없이 내줄 듯한 태도를 비유적으로 이르는 말. 
간이 벌름거리다,몹시 두렵거나 놀라워 가슴이 두근거리다. 
간이 서늘하다,위험하고 두려워 매우 놀라다. 
간이 오그라들다,몹시 두려워지거나 무서워지다. 
간이 오르다,간이 배어들다. 
간이 조마조마하다,마음이 초조하고 불안하다. 
간이 콩알만 하다,몹시 겁이 나서 기를 펴지 못하다. 
간이 콩알만 해지다,몹시 두려워지거나 무서워지다. 
간장국에 절다[마르다],"짠 간장국을 먹고 몸이 마른다는 뜻으로, 오래 찌들어서 바짝 마르고 단단함을 이르는 말. "
간장에 전 놈이 초장에 죽으랴,단단히 단련된 사람이 사소한 일을 무서워하겠느냐는 것을 비유적으로 이르는 말. 
간장을 끊다,몹시 애가 타거나 슬프다. 
간장을 녹이다,"「1」감언이설, 아양 따위로 상대편의 환심을 사다. 「2」몹시 애타게 하다. "
간장을 태우다,마음을 몹시 초조하고 불안하게 만들다. 
간장이 끊어지다,슬픔이나 분노 따위가 너무 커서 참기 어렵다. 
간장이 녹다,「1」무엇이 마음에 들어 정도 이상으로 흐뭇함을 느끼다. 「2」몹시 애가 타다. 
간장이 사라지다,몹시 놀라거나 실망하여 간장이 녹아 없어지는 것 같다. 
간장이 시고 소금이 곰팡 난다[슨다],"간장이 시어질 수 없고 소금에 곰팡이가 날 수 없다는 뜻으로, 절대로 있을 수 없는 일을 이르는 말. "
간장이 썩다,마음이 몹시 상하다. 
간장이 타다,조바심과 걱정으로 속이 끓다. 
간판따다,(속되게) 겉으로 내세우기 위해 학력이나 명분을 갖추다. 
간판을 걸다,개업을 하거나 단체 따위가 활동을 시작하다. 
간판을 내리다,폐업을 하거나 단체 따위가 활동을 중지하다. 
간힘주다,간힘을 아랫배에 내리밀다. 
갈켜다,기둥의 사개나 인방의 가름장 따위의 갈을 만들기 위하여 톱질을 하다. 
갈타다,기둥의 사개나 인방의 가름장의 갈을 만들다. 
갈고리 맞은 고기,"갈고리를 맞아 놀라 헐떡거리며 어쩔 줄 모르는 고기와 같다는 뜻으로, 매우 위급한 경우를 당하여 어찌할 바를 모름을 비유적으로 이르는 말. "
갈 길이 멀다,「1」앞으로 해야 할 일들이 많이 남아 있다. 「2」앞으로 살아갈 생애가 많이 남아 있다. 
갈 데까지 가다,「1」도달할 수 있는 가장 극단의 상태나 상황이 되다. 「2」성관계를 맺다. 
갈림길에 서다,선택을 해야 하는 위치에 놓이다. 
갈매기도 제집이 있다,"하찮은 갈매기도 다 제집이 있는 법이라는 뜻으로, 집 없는 사람의 서러운 처지를 한탄하여 이르는 말. "
갈모 형제라,"갈모의 모양이 위는 뾰족하고 아래는 넓은 데서, 아우가 형보다 나은 경우를 비유적으로 이르는 말. "
갈바람에 곡식이 혀를 빼물고 자란다,가을이 오려고 서풍이 불기 시작하면 곡식들이 놀랄 만큼 빨리 자라고 익어 감을 비유적으로 이르는 말. 
갈비휘다,갈비뼈가 휠 정도로 책임이나 짐이 무겁다. 
갈빗대휘다,갈빗대가 휠 정도로 책임이나 짐이 무겁다. 
갈수록 태산[수미산/심산],갈수록 더욱 어려운 지경에 처하게 되는 경우를 비유적으로 이르는 말. 
갈지자를 그리다,똑바로 걷지 아니하고 이리 비틀 저리 비틀 하며 걷다. 
갈치가 갈치 꼬리 문다,동류(同類)나 친척 간에 서로 싸움을 비유적으로 이르는 말. 
감 고장의 인심,"감나무가 많은 고장에서는 누가 감을 따 먹어도 아무도 말리는 법이 없다는 데서, 매우 순박하고 후한 인심을 비유적으로 이르는 말. "
감기 고뿔도 남을 안 준다,감기까지도 남에게 주지 않을 만큼 지독하게 인색하다는 말. 
감기는 밥상머리에 내려앉는다,"「1」감기 들어 앓고 있다가도 밥상을 받으면 앓는 사람 같지 않게 잘 먹는다는 말. 「2」밥만 잘 먹으면 감기 정도는 절로 물러간다는 뜻으로, 밥만 잘 먹으면 병은 물러감을 이르는 말. "
감기는 밥상머리에서 물러간다[물러앉는다],"밥만 잘 먹으면 감기 정도는 절로 물러간다는 뜻으로, 밥만 잘 먹으면 병은 물러감을 이르는 말. "
감꼬치 빼 먹듯,벌지는 못하고 있던 재물을 하나씩 하나씩 축내어 가기만 하는 모양을 비유적으로 이르는 말. 
감나무 밑에 누워도 삿갓 미사리를 대어라,"감나무 밑에 누워서 절로 떨어지는 감을 얻어먹으려 하여도 그것을 받기 위하여서는 삿갓 미사리를 입에 대고 있어야 한다는 뜻으로, 의당 자기에게 올 기회나 이익이라도 그것을 놓치지 않으려는 노력이 필요함을 이르는 말. "
감나무 밑에 누워서 홍시[연시] 떨어지기를 기다린다[바란다],아무런 노력도 아니 하면서 좋은 결과가 이루어지기만 바람을 비유적으로 이르는 말. 
감나무 밑에서도 먹는 수업을 하여라,"감나무 밑에 누워서 절로 떨어지는 감을 얻어먹으려 하여도 그것을 받기 위하여서는 삿갓 미사리를 입에 대고 있어야 한다는 뜻으로, 의당 자기에게 올 기회나 이익이라도 그것을 놓치지 않으려는 노력이 필요함을 이르는 말. "
감 내고 배 낸다,제 뜻대로 주선함을 비유적으로 이르는 말. 
감사가 행차하면 사또만 죽어난다,"감사가 길을 떠나게 되니 사또는 그 준비를 갖추느라 눈코 뜰 사이 없이 바쁘다는 뜻으로, 윗사람이나 남의 일 때문에 고된 일을 하게 됨을 이르는 말. "
